"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dis","mod","annot"
"synthesis secretion and deacylation of ghrelin","synthesis secretion and deacylation of ghrelin","7/332","19/10821",8.81061031538567e-07,2.96623880617984e-05,2.31471735917369e-05,"ACHE/BCHE/CRHR2/GCG/GH1/IGF1/LEP",7,"DEPRESSION",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"ngf stimulated transcription","ngf stimulated transcription","9/332","39/10821",2.03201800495245e-06,6.32925562979101e-05,4.93906217072018e-05,"ARC/ASCL1/CDK5/CREB1/FOS/FOSB/REST/TPH1/VGF",9,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"pi3k akt signaling in cancer","pi3k akt signaling in cancer","14/332","102/10821",2.57979014178554e-06,7.64038758159601e-05,5.96220969434082e-05,"AKT1/CDKN1A/CREB1/ESR1/ESR2/FGF2/FGF22/FGF9/GSK3A/GSK3B/HGF/KL/MTOR/RAC1",14,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"diseases of signal transduction by growth factor receptors and second messengers","diseases of signal transduction by growth factor receptors and second messengers","30/332","386/10821",2.64765906292931e-06,7.64038758159601e-05,5.96220969434082e-05,"AKT1/ARRB1/BRAF/CDKN1A/CREB1/CTNNB1/DHH/DKK1/ESR1/ESR2/FGF2/FGF22/FGF9/GSK3A/GSK3B/HDAC4/HDAC5/HGF/KDR/KL/MAPK1/MAPK3/MTOR/PORCN/PSEN1/PSMB8/PSMD9/RAC1/STAT3/TGFB1",30,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"toll like receptor cascades","toll like receptor cascades","17/332","153/10821",4.38166303360558e-06,0.000122082197625976,9.52673741244916e-05,"APOB/APP/CREB1/CTSB/FOS/HMGB1/LBP/MAP2K7/MAPK1/MAPK3/NFKB1/NFKB2/RELA/PTPN4/S100B/TLR3/TLR4",17,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"estrogen dependent nuclear events downstream of esr membrane signaling","estrogen dependent nuclear events downstream of esr membrane signaling","7/332","24/10821",5.30047481769684e-06,0.000138227353358034,0.000107866316651202,"AKT1/BCL2/CCND1/CREB1/FOS/MAPK1/MAPK3",7,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"interleukin 1 family signaling","interleukin 1 family signaling","16/332","139/10821",5.30327717091468e-06,0.000138227353358034,0.000107866316651202,"ALOX5/APP/CASP1/HMGB1/IL1A/IL18/IL1B/IL1RN/NFKB1/NFKB2/RELA/PSMB8/PSMD9/PTPN4/S100B/STAT3",16,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","10/332","55/10821",5.52918705792936e-06,0.000139611973212716,0.000108946810779595,"APP/BCL2/CASP1/NFKB1/NFKB2/RELA/NLRP1/NLRP3/P2RX7/PYCARD",10,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"extra nuclear estrogen signaling","extra nuclear estrogen signaling","11/332","75/10821",1.62621219454902e-05,0.000386464545057532,0.000301579289329679,"AKT1/BCL2/CCND1/CREB1/ESR1/ESR2/FOS/GNB3/MAPK1/MAPK3/MMP2",11,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"transcriptional regulation by runx2","transcriptional regulation by runx2","14/332","120/10821",1.76492390099404e-05,0.000407445289143768,0.000317951704269303,"AR/AKT1/BGLAP/CCND1/CDKN1A/ESR1/GSK3B/HDAC4/MAPK1/MAPK3/NR3C1/PPM1D/PSMB8/PSMD9",14,"DEPRESSION",2,"Cell fate: apoptosis, senesence, differentiation"
"sumoylation of intracellular receptors","sumoylation of intracellular receptors","7/332","30/10821",2.66015414169432e-05,0.00058935279883674,0.000459904020978644,"AR/ESR1/HDAC4/NR3C1/NR3C2/PPARG/RORA",7,"DEPRESSION",2,"Cell fate: apoptosis, senesence, differentiation"
"advanced glycosylation endproduct receptor signaling","advanced glycosylation endproduct receptor signaling","5/332","13/10821",2.77170870740051e-05,0.00058935279883674,0.000459904020978644,"APP/HMGB1/MAPK1/MAPK3/S100B",5,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"toll like receptor 9 tlr9 cascade","toll like receptor 9 tlr9 cascade","12/332","95/10821",3.1681510681956e-05,0.000639966515775512,0.000499400655223465,"APP/CREB1/FOS/HMGB1/MAP2K7/MAPK1/MAPK3/NFKB1/NFKB2/RELA/S100B/TLR4",12,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"toll like receptor 4 tlr4 cascade","toll like receptor 4 tlr4 cascade","14/332","127/10821",3.36516442539572e-05,0.000663183623346278,0.000517518226139162,"APP/CREB1/FOS/HMGB1/LBP/MAP2K7/MAPK1/MAPK3/NFKB1/NFKB2/RELA/PTPN4/S100B/TLR4",14,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"toll like receptor tlr1 tlr2 cascade","toll like receptor tlr1 tlr2 cascade","12/332","97/10821",3.91121097539532e-05,0.000734943829795213,0.000573516615486364,"APP/CREB1/FOS/HMGB1/MAP2K7/MAPK1/MAPK3/NFKB1/NFKB2/RELA/S100B/TLR4",12,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"prolonged erk activation events","prolonged erk activation events","5/332","14/10821",4.20350682897569e-05,0.000771916708593717,0.000602368562334076,"BRAF/MAPK1/MAPK3/NGF/NTRK1",5,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"toll like receptor 10 tlr10 cascade","toll like receptor 10 tlr10 cascade","11/332","84/10821",4.82192044650778e-05,0.000865802604617397,0.000675632829814774,"APP/CREB1/FOS/HMGB1/MAP2K7/MAPK1/MAPK3/NFKB1/NFKB2/RELA/S100B",11,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"negative regulation of fgfr1 signaling","negative regulation of fgfr1 signaling","7/332","33/10821",5.15705821025056e-05,0.000905848485626621,0.000706882807308944,"BRAF/FGF2/FGF22/FGF9/KL/MAPK1/MAPK3",7,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"platelet activation signaling and aggregation","platelet activation signaling and aggregation","21/332","261/10821",5.29442693314406e-05,0.000910190842974553,0.000710271384759975,"ADRA2C/AKT1/ALB/APP/ARRB1/CLU/GNB3/HGF/IGF1/MAPK1/MAPK3/MGLL/P2RY1/RAC1/RAPGEF4/SELP/SERPINE1/SERPINF2/TGFB1/TTN/VEGFA",21,"DEPRESSION",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"neurotransmitter receptors and postsynaptic signal transmission","neurotransmitter receptors and postsynaptic signal transmission","18/332","205/10821",5.90882078595885e-05,0.00099465149896974,0.000776180625173104,"ADCY3/CHRNA4/CREB1/GABRA3/GABRA6/GNB3/GRIA1/GRIA2/GRIN1/GRIN2A/GRIN2B/KCNJ6/MAPK1/MAPK3/NSF/PICK1/PRKAB1/RAC1",18,"DEPRESSION",1,"Neurotransmission"
"traf6 mediated nf kb activation","traf6 mediated nf kb activation","6/332","24/10821",6.71978660564213e-05,0.00110807909742017,0.000864694345172854,"APP/HMGB1/NFKB1/NFKB2/RELA/S100B",6,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"constitutive signaling by akt1 e17k in cancer","constitutive signaling by akt1 e17k in cancer","6/332","26/10821",0.000109134169667708,0.00176360818183016,0.00137623931854647,"AKT1/CDKN1A/CREB1/GSK3A/GSK3B/MTOR",6,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"intracellular signaling by second messengers","intracellular signaling by second messengers","22/332","304/10821",0.000168489298439757,0.00261806448344853,0.00204301801144563,"ADCY3/AKT1/CDKN1A/CREB1/ESR1/ESR2/FGF2/FGF22/FGF9/GSK3A/GSK3B/HDAC5/HGF/KL/MAPK1/MAPK3/MTOR/PPARG/PSMB8/PSMD9/RAC1/REST",22,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"regulated proteolysis of p75ntr","regulated proteolysis of p75ntr","4/332","11/10821",0.000242061362065453,0.00369029397262049,0.0028797369588323,"NFKB1/RELA/NGFR/PSEN1",4,"DEPRESSION",10,"NOTCH and FOXO mediated gene expression"
"circadian clock","circadian clock","9/332","70/10821",0.00027024417751018,0.00404365361904121,0.00315548269646389,"AVP/CREB1/CRY1/CRY2/NR3C1/RORA/SERPINE1/SIRT1/USP46",9,"DEPRESSION",10,"NOTCH and FOXO mediated gene expression"
"interleukin 1 signaling","interleukin 1 signaling","11/332","102/10821",0.000283128887542989,0.00408514537740599,0.00318786097064381,"APP/HMGB1/IL1A/IL1B/IL1RN/NFKB1/NFKB2/RELA/PSMB8/PSMD9/S100B",11,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"signal transduction by l1","signal transduction by l1","5/332","21/10821",0.000357899964081605,0.00498591674099891,0.00389078182368206,"L1CAM/MAPK1/MAPK3/NCAM1/RAC1",5,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"unblocking of nmda receptors glutamate binding and activation","unblocking of nmda receptors glutamate binding and activation","5/332","21/10821",0.000357899964081605,0.00498591674099891,0.00389078182368206,"GRIA1/GRIA2/GRIN1/GRIN2A/GRIN2B",5,"DEPRESSION",1,"Neurotransmission"
"tak1 activates nfkb by phosphorylation and activation of ikks complex","tak1 activates nfkb by phosphorylation and activation of ikks complex","6/332","32/10821",0.000367784391890299,0.00503677607876884,0.00393047012921122,"APP/HMGB1/NFKB1/NFKB2/RELA/S100B",6,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"mapk family signaling cascades","mapk family signaling cascades","22/332","327/10821",0.000466656094101691,0.00618128072187158,0.0048235893074532,"ARRB1/BRAF/DUSP1/FGF2/FGF22/FGF9/GDNF/GRIN1/GRIN2B/HGF/IL2/IL2RA/IL6/KL/MAPK1/MAPK3/MMP2/NCAM1/PSMB8/PSMD9/RAC1/SHC2",22,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"nf kb is activated and signals survival","nf kb is activated and signals survival","4/332","13/10821",0.000499512029085729,0.0065097696693753,0.00507992708696692,"NFKB1/RELA/NGF/NGFR",4,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"negative regulation of fgfr2 signaling","negative regulation of fgfr2 signaling","6/332","34/10821",0.00051836937550947,0.00654441336580705,0.00510696144621994,"BRAF/FGF2/FGF22/FGF9/MAPK1/MAPK3",6,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"signalling to erks","signalling to erks","6/332","34/10821",0.00051836937550947,0.00654441336580705,0.00510696144621994,"BRAF/MAPK1/MAPK3/NGF/NTRK1/SHC2",6,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"negative regulation of the pi3k akt network","negative regulation of the pi3k akt network","11/332","110/10821",0.000545101624818138,0.00677603250543162,0.00528770644965287,"AKT1/ESR1/ESR2/FGF2/FGF22/FGF9/HGF/KL/MAPK1/MAPK3/RAC1",11,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"incretin synthesis secretion and inactivation","incretin synthesis secretion and inactivation","5/332","23/10821",0.000562708251118105,0.00678609353587207,0.00529555761853488,"CTNNB1/DPP4/GCG/GNB3/LEP",5,"DEPRESSION",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"long term potentiation","long term potentiation","5/332","23/10821",0.000562708251118105,0.00678609353587207,0.00529555761853488,"GRIA1/GRIA2/GRIN1/GRIN2A/GRIN2B",5,"DEPRESSION",1,"Neurotransmission"
"activation of nmda receptors and postsynaptic events","activation of nmda receptors and postsynaptic events","10/332","94/10821",0.000593437773033862,0.00705143706781412,0.00550261959825516,"CREB1/GRIA1/GRIA2/GRIN1/GRIN2A/GRIN2B/MAPK1/MAPK3/PRKAB1/RAC1",10,"DEPRESSION",1,"Neurotransmission"
"ddx58 ifih1 mediated induction of interferon alpha beta","ddx58 ifih1 mediated induction of interferon alpha beta","9/332","78/10821",0.000611435517849688,0.00715999852786301,0.0055873360059796,"APP/HMGB1/IFNA1/IFNA2/IFNB1/NFKB1/NFKB2/RELA/S100B",9,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"akt phosphorylates targets in the cytosol","akt phosphorylates targets in the cytosol","4/332","14/10821",0.000682502813404118,0.00767163592416322,0.00598659447443169,"AKT1/CDKN1A/GSK3A/GSK3B",4,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"diseases of immune system","diseases of immune system","5/332","24/10821",0.000693105720871182,0.00767163592416322,0.00598659447443169,"NFKB1/NFKB2/RELA/TLR3/TLR4",5,"DEPRESSION",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"growth hormone receptor signaling","growth hormone receptor signaling","5/332","24/10821",0.000693105720871182,0.00767163592416322,0.00598659447443169,"GH1/MAPK1/MAPK3/PRL/STAT3",5,"DEPRESSION",8,"Interferon stimulated genes: interleukins and antigen presentation"
"p75 ntr receptor mediated signalling","p75 ntr receptor mediated signalling","10/332","97/10821",0.000761275960160898,0.00830761459810854,0.00648288319993098,"CASP3/MAGED1/MCF2L/NFKB1/RELA/NGF/NGFR/PSEN1/RAC1/RTN4",10,"DEPRESSION",10,"NOTCH and FOXO mediated gene expression"
"signaling by fgfr1","signaling by fgfr1","7/332","50/10821",0.000771127592646214,0.00830761459810854,0.00648288319993098,"BRAF/FGF2/FGF22/FGF9/KL/MAPK1/MAPK3",7,"DEPRESSION",4,"Signal transduction upon growth factor stimulation"
"intracellular signaling by second messengers","intracellular signaling by second messengers","22/134","304/10821",1.82360899012117e-11,1.2838207290453e-08,8.42699312277045e-09,"ADCY5/AKT1/ATN1/CASP9/CREB1/FGF2/FOXO3/GSK3A/GSK3B/HDAC3/ITPR1/KITLG/MAPK1/MAPK3/MTOR/PDPK1/PPARG/PSME3/REST/TP53/TRAF6/UBB",22,"HUNTINGTON DISEASE",4,"Signal transduction upon growth factor stimulation"
"diseases of signal transduction by growth factor receptors and second messengers","diseases of signal transduction by growth factor receptors and second messengers","24/134","386/10821",4.89856142210502e-11,1.44402513857949e-08,9.47857410042459e-09,"AKT1/ATG7/CASP9/CREB1/CREBBP/CTNNB1/FGF2/FOXO3/GSK3A/GSK3B/HDAC9/HDAC3/HDAC4/HDAC6/KITLG/MAPK1/MAPK3/MTOR/PDPK1/PSME3/SMAD3/TGFB1/UBB/VCP",24,"HUNTINGTON DISEASE",4,"Signal transduction upon growth factor stimulation"
"nf kb is activated and signals survival","nf kb is activated and signals survival","7/134","13/10821",6.15351621553761e-11,1.44402513857949e-08,9.47857410042459e-09,"NFKB1/RELA/NGF/NGFR/SQSTM1/TRAF6/UBB",7,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"cellular response to heat stress","cellular response to heat stress","13/134","101/10821",2.88937268818412e-10,4.66663354448025e-08,3.06317602575782e-08,"ATM/CREBBP/GSK3B/HDAC6/HSF1/HSPA4/MAPK1/MAPK3/MTOR/SIRT1/ST13/UBB/VCP",13,"HUNTINGTON DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"signaling by interleukins","signaling by interleukins","25/134","462/10821",3.56529899797223e-10,4.66663354448025e-08,3.06317602575782e-08,"AKT1/CASP1/CASP3/CNTF/CREB1/FASLG/FGF2/FOXO3/IL6/MAOA/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/PSME3/SMAD3/SQSTM1/SOD1/TGFB1/TNF/TP53/TRAF6/UBB",25,"HUNTINGTON DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"p75ntr signals via nf kb","p75ntr signals via nf kb","7/134","16/10821",3.97724449813658e-10,4.66663354448025e-08,3.06317602575782e-08,"NFKB1/RELA/NGF/NGFR/SQSTM1/TRAF6/UBB",7,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"constitutive signaling by akt1 e17k in cancer","constitutive signaling by akt1 e17k in cancer","8/134","26/10821",5.80405881830719e-10,5.83722486869752e-08,3.83155161088249e-08,"AKT1/CASP9/CREB1/FOXO3/GSK3A/GSK3B/MTOR/PDPK1",8,"HUNTINGTON DISEASE",4,"Signal transduction upon growth factor stimulation"
"transmission across chemical synapses","transmission across chemical synapses","19/134","269/10821",7.4929223726543e-10,6.59377168793578e-08,4.32814858104637e-08,"ABAT/ACHE/ADCY5/CACNA1A/COMT/CREB1/GIT1/GLS2/GLUL/GRIN2A/KCNJ10/MAOA/MAPK1/MAPK3/MAPT/PDPK1/PRKAA1/SLC18A2/SLC1A2",19,"HUNTINGTON DISEASE",1,"Neurotransmission"
"death receptor signalling","death receptor signalling","14/134","141/10821",1.91000345054995e-09,1.49404714354129e-07,9.80691830165412e-08,"CASP2/CASP3/FASLG/HDAC3/MAPK8/MCF2L/NFKB1/RELA/NGF/NGFR/SQSTM1/TNF/TRAF6/UBB",14,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"p75 ntr receptor mediated signalling","p75 ntr receptor mediated signalling","12/134","97/10821",2.30379344782179e-09,1.62187058726654e-07,1.06459507746712e-07,"CASP2/CASP3/HDAC3/MAPK8/MCF2L/NFKB1/RELA/NGF/NGFR/SQSTM1/TRAF6/UBB",12,"HUNTINGTON DISEASE",10,"NOTCH and FOXO mediated gene expression"
"programmed cell death","programmed cell death","15/134","180/10821",5.61488666207961e-09,3.59352746373095e-07,2.35878970780187e-07,"AKT1/CASP3/CASP6/CASP9/CTNNB1/CYCS/DNM1L/FASLG/MAPK1/MAPK3/MAPK8/MAPT/PSME3/TP53/UBB",15,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"nrif signals cell death from the nucleus","nrif signals cell death from the nucleus","6/134","16/10821",2.33131395840095e-08,1.36770418892855e-06,8.97760375208785e-07,"MAPK8/NGF/NGFR/SQSTM1/TRAF6/UBB",6,"HUNTINGTON DISEASE",10,"NOTCH and FOXO mediated gene expression"
"neuronal system","neuronal system","21/134","410/10821",2.85888195359083e-08,1.54819453486765e-06,1.01623415192419e-06,"ABAT/ACHE/ADCY5/CACNA1A/COMT/CREB1/GIT1/GLS2/GLUL/GRIN2A/GRM5/KCNJ10/KCNMA1/MAOA/MAPK1/MAPK3/MAPT/PDPK1/PRKAA1/SLC18A2/SLC1A2",21,"HUNTINGTON DISEASE",1,"Neurotransmission"
"foxo mediated transcription","foxo mediated transcription","9/134","66/10821",1.06509693162495e-07,5.3559159990283e-06,3.51562069912294e-06,"AKT1/ATXN3/CREBBP/FASLG/FOXO3/PINK1/PPARGC1A/SIRT1/SMAD3",9,"HUNTINGTON DISEASE",10,"NOTCH and FOXO mediated gene expression"
"tp53 regulates transcription of caspase activators and caspases","tp53 regulates transcription of caspase activators and caspases","5/134","12/10821",1.99612380587248e-07,9.36847439556152e-06,6.14946211072295e-06,"ATM/CASP1/CASP2/CASP6/TP53",5,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"intrinsic pathway for apoptosis","intrinsic pathway for apoptosis","8/134","53/10821",2.48699224224701e-07,1.09427658658868e-05,7.18282627859497e-06,"AKT1/CASP3/CASP9/CYCS/MAPK1/MAPK3/MAPK8/TP53",8,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"cytochrome c mediated apoptotic response","cytochrome c mediated apoptotic response","5/134","13/10821",3.21150944683465e-07,1.23986044909817e-05,8.13843805553372e-06,"CASP3/CASP9/CYCS/MAPK1/MAPK3",5,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"p75ntr recruits signalling complexes","p75ntr recruits signalling complexes","5/134","13/10821",3.21150944683465e-07,1.23986044909817e-05,8.13843805553372e-06,"NGF/NGFR/SQSTM1/TRAF6/UBB",5,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","8/134","55/10821",3.34621428023653e-07,1.23986044909817e-05,8.13843805553372e-06,"CASP1/CASP2/CASP9/NFKB1/NFKB2/RELA/TRAF6/UBB",8,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"cell death signalling via nrage nrif and nade","cell death signalling via nrage nrif and nade","9/134","76/10821",3.6930873660835e-07,1.29996675286139e-05,8.53297554584556e-06,"CASP2/CASP3/MAPK8/MCF2L/NGF/NGFR/SQSTM1/TRAF6/UBB",9,"HUNTINGTON DISEASE",10,"NOTCH and FOXO mediated gene expression"
"pi3k akt signaling in cancer","pi3k akt signaling in cancer","10/134","102/10821",4.90353472743859e-07,1.64385164196037e-05,1.0790234312509e-05,"AKT1/CASP9/CREB1/FGF2/FOXO3/GSK3A/GSK3B/KITLG/MTOR/PDPK1",10,"HUNTINGTON DISEASE",4,"Signal transduction upon growth factor stimulation"
"regulation of hsf1 mediated heat shock response","regulation of hsf1 mediated heat shock response","9/134","82/10821",7.13545826148938e-07,2.2833466436766e-05,1.49878764439897e-05,"ATM/GSK3B/HSF1/HSPA4/MAPK1/MAPK3/SIRT1/ST13/UBB",9,"HUNTINGTON DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"regulation of pten gene transcription","regulation of pten gene transcription","8/134","61/10821",7.60437144877835e-07,2.32759891301737e-05,1.52783481282091e-05,"ATN1/HDAC3/MAPK1/MAPK3/MTOR/PPARG/REST/TP53",8,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"toll like receptor 10 tlr10 cascade","toll like receptor 10 tlr10 cascade","9/134","84/10821",8.77851841277564e-07,2.47203078503762e-05,1.62263982450884e-05,"CREB1/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/TRAF6/UBB",9,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"transcriptional regulation of white adipocyte differentiation","transcriptional regulation of white adipocyte differentiation","9/134","84/10821",8.77851841277564e-07,2.47203078503762e-05,1.62263982450884e-05,"CEBPA/CREBBP/HDAC3/NFKB1/RELA/PPARG/PPARGC1A/TGFB1/TNF",9,"HUNTINGTON DISEASE",10,"NOTCH and FOXO mediated gene expression"
"transcriptional regulation by mecp2","transcriptional regulation by mecp2","8/134","63/10821",9.79539900689675e-07,2.65229265417512e-05,1.740963629161e-05,"BDNF/CREB1/GRIN2A/HDAC3/HTT/PPARG/SLC2A3/SST",8,"HUNTINGTON DISEASE",1,"Neurotransmission"
"pten regulation","pten regulation","11/134","139/10821",1.1295389556372e-06,2.94516823988367e-05,1.93320702348823e-05,"AKT1/ATN1/HDAC3/MAPK1/MAPK3/MTOR/PPARG/PSME3/REST/TP53/UBB",11,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"apoptotic factor mediated response","apoptotic factor mediated response","5/134","18/10821",2.03407000500104e-06,4.93788028800253e-05,3.24122225842271e-05,"CASP3/CASP9/CYCS/MAPK1/MAPK3",5,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"transcriptional regulation by runx2","transcriptional regulation by runx2","10/134","120/10821",2.21299460387359e-06,5.19316067042336e-05,3.40878817930002e-05,"AKT1/GSK3B/HDAC3/HDAC4/HDAC6/MAPK1/MAPK3/PPARGC1A/PSME3/UBB",10,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"toll like receptor 9 tlr9 cascade","toll like receptor 9 tlr9 cascade","9/134","95/10821",2.49805545265384e-06,5.63118728298483e-05,3.69630863820326e-05,"CREB1/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/TRAF6/UBB",9,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"autophagy","autophagy","11/134","151/10821",2.55963058317492e-06,5.63118728298483e-05,3.69630863820326e-05,"ATG7/ATM/GFAP/HDAC6/HSF1/MTOR/PINK1/PRKAA1/SQSTM1/UBB/VCP",11,"HUNTINGTON DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"transcriptional regulation by runx3","transcriptional regulation by runx3","9/134","96/10821",2.72787078997107e-06,5.81945768527163e-05,3.81988924018278e-05,"CREBBP/CTNNB1/FOXO3/HDAC4/PSME3/SMAD3/TGFB1/TP53/UBB",9,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"toll like receptor tlr1 tlr2 cascade","toll like receptor tlr1 tlr2 cascade","9/134","97/10821",2.97565643020633e-06,5.98532036247216e-05,3.92876142213708e-05,"CREB1/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/TRAF6/UBB",9,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"clec7a dectin 1 signaling","clec7a dectin 1 signaling","9/134","100/10821",3.838672614979e-06,7.50673755818116e-05,4.92741894144966e-05,"ITPR1/NFKB1/NFKB2/RELA/RELB/PDPK1/PSME3/TRAF6/UBB",9,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"cd209 dc sign signaling","cd209 dc sign signaling","5/134","21/10821",4.6887195207665e-06,8.92123930437734e-05,5.85589721085773e-05,"CREBBP/NFKB1/RELA/RELB/PAK1",5,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"regulation of tp53 expression and degradation","regulation of tp53 expression and degradation","6/134","37/10821",5.46667847196685e-06,0.000101277411691175,6.64784445759958e-05,"AKT1/ATM/MTOR/PDPK1/TP53/UBB",6,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"regulated proteolysis of p75ntr","regulated proteolysis of p75ntr","4/134","11/10821",6.93658847964373e-06,0.000125214315119723,8.21906165334304e-05,"NFKB1/RELA/NGFR/TRAF6",4,"HUNTINGTON DISEASE",10,"NOTCH and FOXO mediated gene expression"
"interleukin 1 family signaling","interleukin 1 family signaling","10/134","139/10821",8.32492515559337e-06,0.000146518682738443,9.61747932448814e-05,"CASP1/MAPK8/NFKB1/NFKB2/RELA/PSME3/SMAD3/SQSTM1/TRAF6/UBB",10,"HUNTINGTON DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"interleukin 4 and interleukin 13 signaling","interleukin 4 and interleukin 13 signaling","9/134","111/10821",9.09198053609003e-06,0.000156115958473351,0.000102474440445277,"AKT1/FASLG/FGF2/FOXO3/IL6/MAOA/TGFB1/TNF/TP53",9,"HUNTINGTON DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"estrogen dependent nuclear events downstream of esr membrane signaling","estrogen dependent nuclear events downstream of esr membrane signaling","5/134","24/10821",9.50548513634091e-06,0.000159330036571048,0.000104584159770768,"AKT1/CREB1/FOXO3/MAPK1/MAPK3",5,"HUNTINGTON DISEASE",4,"Signal transduction upon growth factor stimulation"
"transcriptional regulation by tp53","transcriptional regulation by tp53","16/134","362/10821",9.8450004563411e-06,0.000161183263285212,0.000105800616899235,"AKT1/ATM/CASP1/CASP2/CASP6/CREBBP/CYCS/GLS2/GPI/MLH1/MTOR/PDPK1/PRKAA1/TBP/TP53/UBB",16,"HUNTINGTON DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
