"edge","Source","Target","year","count","pvalue","p.adjust","geneID","Count","logpadj","logpval","class_source","class_target","comparison","between","sim_paper"
"AGE RELATED OSTEOPOROSIS_ARTHRITIS","AGE RELATED OSTEOPOROSIS","ARTHRITIS",2018,0,1.13300331608883e-13,1.58620464252437e-12,"ACE/ACTH/ADIPOQ/ADM/AKT1/ALOX15/ANXA2/APOE/BGLAP/BTF3P11/CCL2/CD40/CD44/CNR1/CRH/CRP/CSF1/CSF1R/CYP27A1/DKK1/ESR1/FGF2/GH1/GRN/HSD11B1/HSD11B2/IFNG/IGF1/IL1/IL17A/IL17B/IL18/IL1A/IL1B/IL1RN/IL33/IL6/IL8/LEP/MDK/MIF/MMP9/MSC/NF-KB/NFKB1/NOS2/P2RX7/PPARG/PRL/PTGER4/PTGS2/PTH/SIRT1/SOST/SP7/SPP1/ST2/SUBSTANCE P/SUPEROXIDE DISMUTASE/TGFB1/TNF/TNFRSF11B/TNFRSF25/TNFSF11/TRPV1/VDR",66,27.1696769704442,29.8087343000594,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",29.8087343000594
"AGE RELATED OSTEOPOROSIS_CHRONIC ULCERATIVE COLITIS","AGE RELATED OSTEOPOROSIS","CHRONIC ULCERATIVE COLITIS",2018,0,7.93746861291921e-13,9.26038004840575e-12,"ACE/ACTH/ADIPOQ/ADM/AKT1/BGLAP/CD44/CDH1/CNR1/CRP/CTNNB1/ESR1/FGF2/GCG/GH1/IFNG/IL1/IL17A/IL1B/IL1RN/IL33/IL37/IL6/IL8/LCT/MIF/MIR21/MMP9/MSC/MTHFR/NF-KB/NFKB1/NOS2/PPARG/PTGS2/ST2/SUBSTANCE P/SUPEROXIDE DISMUTASE/TGFB1/TNF/TNFRSF11B/TNFRSF25/VDR",43,25.4052760261682,27.8620117989895,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",27.8620117989895
"AGE RELATED OSTEOPOROSIS_DEPRESSION","AGE RELATED OSTEOPOROSIS","DEPRESSION",2018,0,1.62679029798804e-10,1.26528134287958e-09,"ACE/ACP1/ACTH/ADIPOQ/AIS/AKT1/ANGIOTENSIN II/APOE/AR/BGLAP/CCL2/CNR1/CRH/CRP/CSE/CTNNB1/CTSB/DKK1/ESR1/ESR2/FGF2/GCG/GH1/IFNG/IGF1/IL1/IL17A/IL18/IL1B/IL1RN/IL6/IL8/KL/LEP/LEPR/MIF/MTHFR/MTOR/NF-KB/NOS2/NPY/P2RX7/PPARG/PRL/PTGS2/PTH/SERPINE1/SIRT1/SUBSTANCE P/TGFB1/TNF/TPH1/TRPV1",53,20.4879713340569,22.5392419987701,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",22.5392419987701
"AGE RELATED OSTEOPOROSIS_PARKINSON'S DISEASE","AGE RELATED OSTEOPOROSIS","PARKINSON'S DISEASE",2018,0,4.66356480188657e-09,2.51115027793892e-08,"ADIPOQ/AGTR1/AKT1/ALDH2/APOE/ATF4/CCL2/CNR1/CNR2/CP/CRH/CRP/CTNNB1/ECD/ESR1/FGF2/GCG/GH1/GRN/GSTT1/IFNG/IGF1/IL1/IL1B/IL6/INS/LEP/MIF/MMP9/MSC/MTHFR/MTOR/NF-KB/NFKB1/NOS2/P2RX7/PPARG/PRL/PTGS2/SIRT1/SLC11A2/SOD2/SP1/SPP1/SUBSTANCE P/SUPEROXIDE DISMUTASE/TGFB1/TNF/VDR/VPS35",50,17.4999398177227,19.1834857023105,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",19.1834857023105
"AGE RELATED OSTEOPOROSIS_DEMENTIA","AGE RELATED OSTEOPOROSIS","DEMENTIA",2018,0,1.43491230730586e-07,5.90846244184767e-07,"ACE/ACTH/ADIPOQ/ALDH2/ANGIOTENSIN II/APOE/CCL2/CRH/CRP/GCG/GH1/GRN/HSD11B1/IGF1/IL1B/IL6/IL8/LEP/MMP9/MTHFR/NF-KB/PPARG/PRL/PTH/ST3GAL4/SUPEROXIDE DISMUTASE/TNF",27,14.3417100155123,15.7569919135054,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",15.7569919135054
"AGE RELATED OSTEOPOROSIS_AUTISM","AGE RELATED OSTEOPOROSIS","AUTISM",2018,0,2.82479332294624e-06,8.69521926108919e-06,"ACTH/ADIPOQ/AKT1/APOE/AR/CCL2/CD34/CNR1/CP/CRH/CRP/CTNNB1/ESR1/GH1/GRN/IFNG/IGF1/IL17A/IL18/IL6/IL8/INS/LCT/LEP/LIF/MIR21/MMP9/MTHFR/MTOR/NF-KB/NFKB1/PRL/SP1/SPP1/SUPEROXIDE DISMUTASE/TGFB1/TNF/VDR",38,11.6527371935594,12.7770753560612,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",12.7770753560612
"AGE RELATED OSTEOPOROSIS_HUNTINGTON DISEASE","AGE RELATED OSTEOPOROSIS","HUNTINGTON DISEASE",2018,0,0.000191093108145661,0.000445883919006542,"AKT1/APOE/CNR1/CTNNB1/FGF2/GH1/GRN/IGF1/IL6/MTOR/NF-KB/NFKB1/PPARG/PRL/SIRT1/SP1/SUBSTANCE P/SUPEROXIDE DISMUTASE/TGFB1/TNF",20,7.71545191110644,8.56274977149364,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",8.56274977149364
"ALZHEIMER DISEASE_PARKINSON'S DISEASE","ALZHEIMER DISEASE","PARKINSON'S DISEASE",2018,0,4.09573394562129e-60,2.8670137619349e-58,"AAVS1/ABCB1/ABCG2/ABL1/ACHE/ADIPOQ/ADRB2/AGTR1/AKT1/ALB/ALDH2/ANG/APEX1/APH1A/APOB/APOD/APOE/APP/ARTN/AVP/BAX/BCHE/BCL2/BDNF/BECN1/C9ORF3/C9ORF72/CALB1/CASP1/CASP3/CAST/CCL2/CCL5/CD200/CDK5/CDK5R1/CEBPZ/CHRNA4/CLU/CNR1/COMT/CP/CREB1/CRH/CRP/CRYAB/CSF2/CSF3/CST3/CTNNB1/CTSD/CX3CL1/CX3CR1/CXCL10/CYP2D6/DBH/DDIT4/DNM1L/EBPL/ECD/EFHD2/EGFR/EPO/ESR1/F2/FAS/FASLG/FGF2/FMR1/GAP43/GAPDH/GCG/GDNF/GFAP/GH1/GPI/GRIN2B/GRK5/GRM2/GRM5/GRN/GSK-3/GSK3B/GSTM1/GSTO1/GSTP1/HCRT/HDAC/HFE/HGF/HMGB1/HMOX1/HP/HPGDS/HSPA4/HSPA8/HSPA9/HTR2A/HTRA2/HTT/IDH1/IFNG/IGF1/IGKV2D-29/IL1/IL10/IL1B/IL6/INS/KLK6/LEP/LRRK2/LYZ/MAMLD1/MAOA/MAOB/MAPK8/MAPT/MCIDAS/MCIN/MIF/MMP3/MMP9/MPO/MSC/MTHFR/MTOR/NFE2L2/NF-KB/NFKB1/NGF/NGFR/NOS2/NOS3/NRG1/NTF3/NTRK2/NTS/OGDH/OGT/P2RX7/PACAP/PAM/PARK7/PARP1/PDC/PICALM/PNMT/PON1/PPARA/PPARG/PPARGC1A/PPP2R4/PRDX5/PREP/PRKAA1/PRKCD/PRNP/PTEN/PTGS2/PTPN4/RTN4/S100B/SGCA/SIRT1/SIRT2/SLC17A7/SLC6A3/SLC6A4/SMPD1/SNCA/SOD1/SOD2/SORT1/SP1/SPP1/SST/STH/SUBSTANCE P/SUPEROXIDE DISMUTASE/SYNJ1/SYT1/TARDBP/TF/TFAM/TFRC/TGFB1/TGM2/TH/TIMP1/TLR2/TLR4/TNF/TOMM40/TP53/TREM2/UBB/UBIQUITIN/UCHL1/VCP/VDR/VEGFA/VEGFB/VIP",204,132.496664406648,136.745159648697,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",136.745159648697
"ALZHEIMER DISEASE_DEMENTIA","ALZHEIMER DISEASE","DEMENTIA",2018,0,3.95076361640934e-43,1.38276726574327e-41,"ABCA1/ABCB1/ACE/ACHE/ACTH/ADIPOQ/AGPS/ALB/ALDH2/ANGIOTENSIN II/APOA1/APOE/APP/ATP7B/AVP/BACE1/BACE2/BCHE/BDNF/C9ORF72/CALB1/CASP9/CCL2/CCR5/CD2AP/CD40LG/CDR1/CEBPZ/CETP/CHI3L1/CHRNA4/CHRNA7/CLU/COMT/CR1/CRH/CRP/CST3/CXCL10/DYT10/ENO2/EPO/ESCO1/FABP3/GCG/GFAP/GH1/GHRH/GLS/GRN/HGF/HP/HTR1F/IDE/IGF1/IL10/IL1B/IL6/IL8/INSR/ITM2B/KLK6/LEP/LRRK2/MAOB/MAPT/MCIDAS/MCIN/MME/MMP3/MMP9/MTHFR/NF-KB/NGF/NRGN/NTF3/PLA2G7/PPARG/PRNP/PSEN1/PSEN2/PTPN4/PTPRC/S100B/SERPINI1/SGCA/SLC6A4/SNCA/SORL1/SPON1/SST/ST3GAL4/SUPEROXIDE DISMUTASE/SYNM/SYP/TARDBP/TF/TNF/TNFSF10/TP53/TREM2/TTR/TYROBP/UBIQUITIN/VCP/VEGFA/VEGFB",107,94.0819020564156,97.637250117905,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",97.637250117905
"ALZHEIMER DISEASE_DEPRESSION","ALZHEIMER DISEASE","DEPRESSION",2018,0,8.52071327150247e-33,1.98816643001724e-31,"ABCB1/ACE/ACHE/ACTH/ADIPOQ/ADRB2/AGXT/AKT1/ALB/ALOX5/ANGIOTENSIN II/APOB/APOE/APP/AQP4/AR/ARC/ARRB1/AVP/BCHE/BCL2/BDNF/CASP1/CASP3/CCL2/CD2AP/CDK5/CDKN1A/CDR1/CEBPZ/CHRNA4/CLU/CNR1/COMT/CREB1/CRH/CRHR1/CRP/CSF3/CTNNB1/CTSB/CX3CL1/CYP2D6/DBH/DDIT4/DKK1/EBPL/EDN1/EEF2K/ENPEP/EPHB2/EPO/ESR1/ESR2/FAAH/FGF2/FKBP4/FMR1/FOS/GCG/GDNF/GH1/GHRH/GIF/GLO1/GPI/GRIA2/GRIN1/GRIN2B/GRM2/GRM5/GSK-3/GSK3B/HCRT/HGF/HMGB1/HSPA4/HTR1F/HTR2A/HTR2C/HTR4/HTR6/HTR7/HTT/ICAM1/IFNA1/IFNB1/IFNG/IGF1/IGKV2D-29/IL1/IL10/IL12/IL1B/IL1RN/IL2/IL6/IL8/KDR/LCN2/LEP/LEPR/LRRK2/MAOA/MAOB/MAPK1/MAPK3/MCIDAS/MCIN/MGLL/MIF/MIR132/MME/MTHFR/MTOR/NCAM1/NFE2L2/NF-KB/NGF/NGFR/NLRP1/NLRP3/NOS2/NPY/NR3C1/NTF3/NTRK1/NTRK2/NTS/P2RX7/PACAP/PLA2G1B/PLAT/PPARG/PREP/PRKAB1/PSEN1/PTGS2/PTPN4/RTN4/S100B/SERPINE1/SERPINF2/SGCA/SIGMAR1/SIRT1/SIRT2/SLC1A2/SLC6A2/SLC6A3/SLC6A4/SMPD1/SORT1/SST/STAT3/SUBSTANCE P/SYNM/TGFB1/TLR4/TNF/TRH/TSPO/TTR/VEGFA/VGF/WWC1",166,70.6929250607726,73.8428080141539,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",73.8428080141539
"ALZHEIMER DISEASE_HUNTINGTON DISEASE","ALZHEIMER DISEASE","HUNTINGTON DISEASE",2018,0,4.15193569217005e-27,7.26588746129759e-26,"ABCB1/ACHE/AKT1/APOE/BDNF/C9ORF72/CALB1/CASP1/CASP2/CASP3/CASP6/CASP9/CNR1/COMT/CREB1/CREBBP/CTNNB1/CYCS/DNM1L/EFHD2/ENO2/FASLG/FGF2/FLVCR1/FOXO3/GAPDH/GFAP/GH1/GLUL/GPI/GRM5/GRN/GSK-3/GSK3B/HCRT/HDAC/HP/HSF1/HSPA4/HTT/IGF1/IGKV2D-29/IL6/KITLG/MAOA/MAPK1/MAPK3/MAPK8/MAPT/MTOR/NFE2L2/NF-KB/NFKB1/NGF/NGFR/NTF3/NTRK2/PAM/PPARG/PPARGC1A/PRKAA1/PRRT2/QPCT/RBFOX3/RCAN1/SIGMAR1/SIRT1/SIRT2/SLC1A2/SMAD3/SNCA/SP1/SQSTM1/SST/SUBSTANCE P/SUPEROXIDE DISMUTASE/TARDBP/TGFB1/TGM2/TNF/TP53/TREM2/UBIQUITIN/UCHL1/VCP",85,57.8840219725645,60.7462228534939,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",60.7462228534939
"ALZHEIMER DISEASE_BIPOLAR AFFECTIVE PSYCHOSIS","ALZHEIMER DISEASE","BIPOLAR AFFECTIVE PSYCHOSIS",2018,0,1.57961798042023e-12,9.21443821911799e-12,"ALDH2/APOE/AVP/BCHE/BDNF/CCL2/CD74/CHRNA4/CHRNA7/COMT/CRP/DBH/DYT10/EBPL/ENPEP/EPO/FMR1/GAP43/GDNF/GRIN1/GRIN2B/GRN/GSK-3/GSK3B/HDAC/HTR2A/IL2/IL4/IL6/IL8/LEP/LRP2/MAOA/MIR29C/MIR34A/MMP9/MTHFR/NCAM1/NR3C1/NRG1/NTF3/NTRK2/P2RX7/POMC/PRNP/RELN/S100B/SLC1A2/SLC6A2/SLC6A3/SLC6A4/SST/SUPEROXIDE DISMUTASE/TH/TLR2/TLR4/TNF/TRH",58,25.4102494904071,27.1738380826684,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",27.1738380826684
"ANKYLOSING SPONDYLARTHRITIDES_BEHCET SYNDROME","ANKYLOSING SPONDYLARTHRITIDES","BEHCET SYNDROME",2018,0,1.56859817349088e-24,5.49009360721807e-23,"CRP/EDN1/ERAP1/ESR1/HLA-B/HLA-DRB4/HLA-E/HMGB1/HSPD1/IL1/IL10/IL17A/IL18/IL1B/IL23A/IL23R/IL2RA/IL33/IL37/IL6/LEP/MBL2/MEFV/NOD2/TGFB1/TLR4/TNF/VEGFA",28,51.2565118329919,54.8118598944813,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",54.8118598944813
"ANKYLOSING SPONDYLARTHRITIDES_CROHN'S DISEASE","ANKYLOSING SPONDYLARTHRITIDES","CROHN'S DISEASE",2018,0,1.40070172160888e-22,3.26830401708739e-21,"AHSG/CCR7/CD40LG/CD79A/CRP/CSF2/HLA-B/HLA-C/HLA-DRB4/HLA-E/IGAN/IL1/IL10/IL17A/IL18/IL1B/IL23A/IL23R/IL2RA/IL33/IL37/IL6/LEP/MBL2/MEFV/MMP3/MSC/NOD2/PTGER4/PTPN22/RNASE3/TGFB1/TLR4/TNF/TNFRSF11B/TNFSF15/VEGFA/VIP",38,47.1700157517196,50.3198987051008,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",50.3198987051008
"ANKYLOSING SPONDYLARTHRITIDES_PSORIASIS","ANKYLOSING SPONDYLARTHRITIDES","PSORIASIS",2018,0,2.88767318474424e-21,5.05342807330242e-20,"CD163/CD40LG/CD79A/CP/CRP/CSF2/EDN1/ERAP1/HLA-B/HLA-C/HLA-DRB4/HLA-E/HMGB1/HP/IGAN/IL1/IL10/IL17A/IL17RA/IL18/IL1B/IL23A/IL23R/IL2RA/IL33/IL37/IL6/KIR3DL1/LEP/MIR146A/NFATC1/PDCD1/PEPD/PTPN22/RETN/RUNX3/TAP1/TAP2/TGFB1/TLR4/TNF/TNFSF11/VEGFA/VIP",44,44.4316350204955,47.293835901425,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",47.293835901425
"ANKYLOSING SPONDYLARTHRITIDES_ARTHRITIS","ANKYLOSING SPONDYLARTHRITIDES","ARTHRITIS",2018,0,2.44224000595611e-19,3.41913600833855e-18,"B2M/CA1/CASP1/CD40LG/CD79A/CRP/CSF2/DKK1/DPEP1/EDN1/ERAP1/ESR1/HLA-DRB4/HLA-E/HMGB1/HP/HSPD1/IL1/IL10/IL17A/IL17RA/IL18/IL1B/IL23A/IL2RA/IL33/IL6/LEP/MEFV/MIR146A/MMP3/MRAP/MS4A1/MSC/NOD2/PDCD1/PTGER4/PTPN22/RETN/SOST/TGFB1/TLR4/TNF/TNFRSF10A/TNFRSF11B/TNFSF11/TNFSF15/VEGFA/VIP",49,40.2171437838752,42.8562011134905,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",42.8562011134905
"ANKYLOSING SPONDYLARTHRITIDES_SYSTEMIC LUPUS ERYTHEMATOSUS","ANKYLOSING SPONDYLARTHRITIDES","SYSTEMIC LUPUS ERYTHEMATOSUS",2018,0,5.40228343350254e-19,6.30266400575296e-18,"B2M/CD40LG/CD79A/CRP/CYP2D6/DKK1/ESR1/HLA-DRB4/HLA-E/HMGB1/HSPD1/IGAN/IL1/IL10/IL17A/IL18/IL1B/IL23A/IL23R/IL2RA/IL33/IL37/IL6/LEP/MBL2/MIR146A/MMP3/MS4A1/MSC/NOD2/PDCD1/PON1/PTPN22/RETN/SOCS1/TAP1/TAP2/TGFB1/TLR4/TNF/TNFRSF10A/TNFRSF11B/TNFSF10/VEGFA",44,39.6055592718186,42.0622950446399,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",42.0622950446399
"ANKYLOSING SPONDYLARTHRITIDES_DEMENTIA","ANKYLOSING SPONDYLARTHRITIDES","DEMENTIA",2018,0,4.02919875523964e-06,7.83455313518819e-06,"B2M/CD40LG/CD79A/CRP/GDF15/HP/IL10/IL1B/IL6/LEP/MMP3/RETN/SCT/TNF/TNFSF10/VEGFA",16,11.7569667182195,12.4219430218128,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",12.4219430218128
"ANKYLOSING SPONDYLARTHRITIDES_PARKINSON'S DISEASE","ANKYLOSING SPONDYLARTHRITIDES","PARKINSON'S DISEASE",2018,0,1.9536798506141e-05,3.50660486007659e-05,"CASP1/CD163/CP/CRP/CSF2/CYP2D6/ESR1/GDF15/HMGB1/HP/IL1/IL10/IL1B/IL6/LEP/MMP3/MSC/NOD2/PON1/TAP1/TGFB1/TLR4/TNF/VEGFA/VIP",25,10.2582771719375,10.8432107678573,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",10.8432107678573
"ANKYLOSING SPONDYLARTHRITIDES_AUTISM","ANKYLOSING SPONDYLARTHRITIDES","AUTISM",2018,0,0.000574709798712474,0.000893993020219404,"CD79A/CP/CRP/CYP2D6/ESR1/HLA-B/HLA-DRB4/HMGB1/IL17A/IL18/IL23A/IL6/LEP/LIF/PON1/SCT/TGFB1/TNF/TNFRSF10A",19,7.01981259018208,7.46164534246112,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",7.46164534246112
"ANKYLOSING SPONDYLARTHRITIDES_DEPRESSION","ANKYLOSING SPONDYLARTHRITIDES","DEPRESSION",2018,0,0.00293189098263034,0.00394677632277162,"CASP1/CRP/CYP2D6/DKK1/EDN1/ESR1/HMGB1/IL1/IL10/IL17A/IL18/IL1B/IL2RA/IL6/LEP/TGFB1/TLR4/TNF/TRH/VEGFA",20,5.53485615409432,5.83210767756225,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",5.83210767756225
"ANKYLOSING SPONDYLARTHRITIDES_BIPOLAR AFFECTIVE PSYCHOSIS","ANKYLOSING SPONDYLARTHRITIDES","BIPOLAR AFFECTIVE PSYCHOSIS",2018,0,0.0586045607068891,0.0695308347369871,"CRP/GDF15/IL6/LEP/TLR4/TNF/TRH",7,2.66598495952134,2.83694275766498,"INFLAMMATORY","PSYCHIATRIC","between_classes","INFLAMMATORY_vs_PSYCHIATRIC",2.83694275766498
"ANXIETY DISORDER_DEPRESSION","ANXIETY DISORDER","DEPRESSION",2018,0,2.39054631348845e-19,7.64974820316304e-18,"BDNF/CCK/COMT/CRH/CRP/FGF2/GRM2/GRM5/GTS/HCRTR1/HPSE/HTR1A/HTR1F/NPS/NPSR1/NPY/NR3C1/OPN1SW/OPRK1/SLC16A1/SLC6A4/TNF/TPH2/TSPO",24,39.4118589412153,42.877594844015,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",42.877594844015
"ANXIETY DISORDER_BIPOLAR AFFECTIVE PSYCHOSIS","ANXIETY DISORDER","BIPOLAR AFFECTIVE PSYCHOSIS",2018,0,2.91934205912483e-08,4.67094729459973e-07,"BDNF/COMT/CRP/HPSE/HTR1A/NR3C1/OPN1SW/SLC6A4/TNF/TPH2",10,14.5767337530388,17.3493224752786,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",17.3493224752786
"ANXIETY DISORDER_DEMENTIA","ANXIETY DISORDER","DEMENTIA",2018,0,2.60382759336118e-06,3.33289931950231e-05,"BDNF/COMT/CRH/CRP/HTR1F/NPS/OPN1SW/SLC6A4/TNF",9,10.3090828732709,12.8585280441965,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",12.8585280441965
"ANXIETY DISORDER_AUTISM","ANXIETY DISORDER","AUTISM",2018,0,1.60717594013794e-05,0.000171432100281381,"BDNF/COMT/CRH/CRP/GRM5/GTS/HPSE/HTR1A/SLC6A4/TNF/TPH2",11,8.67132328648064,11.0384469006123,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",11.0384469006123
"ANXIETY DISORDER_PARKINSON'S DISEASE","ANXIETY DISORDER","PARKINSON'S DISEASE",2018,0,1.94583432669167e-05,0.000177904852726095,"BDNF/CCK/COMT/CRH/CRP/FGF2/GRM2/GRM5/HTR1A/OPN1SW/SLC6A4/TNF",12,8.63426168583374,10.8472346201381,"PSYCHIATRIC","PSYCHIATRIC","within_classes","PSYCHIATRIC_vs_PSYCHIATRIC",10.8472346201381
"ANXIETY DISORDER_KAWASAKI DISEASE","ANXIETY DISORDER","KAWASAKI DISEASE",2018,0,0.0128750102999976,0.0686667215999872,"CRP/NR3C1/TNF",3,2.67849059886117,4.35246703243284,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",4.35246703243284
"ANXIETY DISORDER_PCP","ANXIETY DISORDER","PCP",2018,0,0.0251519807324151,0.107315117791638,"CRP/TNF",2,2.23198574652401,3.68281862878147,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",3.68281862878147
"ANXIETY DISORDER_AFRICAN SLEEPING SICKNESSES","ANXIETY DISORDER","AFRICAN SLEEPING SICKNESSES",2018,0,0.0753076427364966,0.287875683775347,"TNF",1,1.24522654559323,2.58617365216215,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",2.58617365216215
"ARTHRITIS_CHRONIC ULCERATIVE COLITIS","ARTHRITIS","CHRONIC ULCERATIVE COLITIS",2018,0,8.39773869923209e-60,2.93920854473123e-58,"ACE/ACTH/ADIPOQ/ADM/AKT1/ALB/ALOX5/BCL2/BGLAP/C19ORF10/C3/CA1/CAT/CCL11/CCL20/CCL3/CCR6/CD14/CD44/CD79A/CDKN1A/CLEC7A/CNR1/CPB2/CRP/CSF3/CTLA4/CXCL10/CXCR2/CXCR3/EDN1/ESR1/F2/FAS/FGF2/FOXO3/FOXP3/GATA3/GH1/HIF1A/HLA-DRB1/HLA-DRB4/HMGB1/HSPA4/HSPD1/ICAM1/IFNB1/IFNG/IGHG1/IKBKB/IL1/IL10/IL12/IL13/IL17A/IL17F/IL17RA/IL1B/IL1RL1/IL1RN/IL2/IL21/IL22/IL23A/IL27/IL2RA/IL33/IL4/IL5/IL6/IL7R/IL8/IRAK1/JAK3/KDR/KIAA0101/KLRK1/LRG1/LYZ/MAPK8/MET/MIF/MIR146A/MIR155/MMP1/MMP13/MMP3/MMP9/MPO/MRAP/MSC/MST1/NAMPT/NFE2L2/NF-KB/NFKB1/NLRP3/NOD2/NOS2/PGF/PPARG/PTGS2/RBM45/S100A12/S100A8/S100A9/S1PR1/SERPINA1/SLC11A1/SOCS3/SST/ST2/STAT1/STAT3/STAT6/SUBSTANCE P/SUPEROXIDE DISMUTASE/TBX21/TGFB1/TIMP1/TLR2/TLR3/TLR4/TLR9/TNC/TNF/TNFRSF11B/TNFRSF25/TNFSF15/TP53/TXN/VDR/VEGFA/VIP",134,132.471795051018,136.027143112507,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",136.027143112507
"ARTHRITIS_PSORIASIS","ARTHRITIS","PSORIASIS",2018,0,5.59196921984234e-55,1.30479281796321e-53,"ACE/ACTH/ADA/ADAM17/ADIPOQ/AKT1/ALB/ALOX5/APOE/BCL2/BSG/C1ORF228/CCL2/CCL20/CCL5/CCR1/CCR2/CCR5/CCR6/CD19/CD274/CD28/CD4/CD40LG/CD69/CD79A/CD80/CHI3L1/CLEC7A/CRH/CRP/CSF2/CTGF/CXCL1/CXCL10/CXCR2/CXCR3/CXCR4/CYR61/DPP4/EDN1/ELANE/EMD/ERAP1/FAS/FASLG/FOXP3/GATA3/GH1/GRN/HDAC/HIF1A/HLA-DRB1/HLA-DRB4/HLA-E/HMGB1/HMOX1/HP/HRH4/ICAM1/IFNA1/IFNB1/IFNG/IGF1/IL1/IL10/IL11/IL12/IL13/IL15/IL17A/IL17B/IL17C/IL17F/IL17RA/IL18/IL19/IL1A/IL1B/IL1RN/IL2/IL21/IL22/IL23A/IL27/IL2RA/IL33/IL4/IL6/IL8/IRAK1/ITGAL/JUN/KDR/LEP/LPA/LYN/MIF/MIR146A/MIR155/MMP9/MPO/NFE2L2/NF-KB/NFKB1/NGF/NOS2/NOTCH1/NR4A2/OSM/PDCD1/PGLYRP2/PI3/PLA2G1B/PLG/PPARG/PRL/PTGS2/PTH/PTPN22/REL/RETN/S100A12/S100A8/S100A9/SELE/SELP/SELPLG/SIRT1/SOCS3/SPP1/SST/STAT3/SUBSTANCE P/SUPEROXIDE DISMUTASE/TEK/TGFB1/TIMP3/TLR2/TLR3/TLR4/TLR7/TLR9/TNC/TNF/TNFAIP3/TNFRSF1A/TNFSF11/TP53/TRAF6/TREM1/TRPV1/TSLP/VDR/VEGFA/VIP",156,121.770965660695,124.920848614076,"INFLAMMATORY","INFLAMMATORY","within_classes","INFLAMMATORY_vs_INFLAMMATORY",124.920848614076
