"Source","Target","degree"
"LANCL1","inflammatory",1
"LBR","inflammatory",1
"LCE3B","inflammatory",1
"LCE3C","inflammatory",1
"LCN1","inflammatory",1
"LEPREL2","inflammatory",1
"LGALS3BP","inflammatory",1
"LGALS8","inflammatory",1
"LGALS9","inflammatory",1
"LILRA3","inflammatory",1
"LMNB1","inflammatory",1
"LOX","inflammatory",1
"LRBA","inflammatory",1
"LRP2","inflammatory",1
"LRP5","inflammatory",1
"LRP6","inflammatory",1
"LRRK2","inflammatory",1
"LTB","inflammatory",1
"LTB4R","inflammatory",1
"LTBR","inflammatory",1
"LXN","inflammatory",1
"LY75","inflammatory",1
"LY9","inflammatory",1
"LYPD4","inflammatory",1
"MAP1LC3A","inflammatory",1
"MAP1LC3B","inflammatory",1
"MAP2K3","inflammatory",1
"MAP2K6","inflammatory",1
"MAP2K7","inflammatory",1
"MAP3K14","inflammatory",1
"MAP3K7","inflammatory",1
"MAPK1","inflammatory",1
"MAPK12","inflammatory",1
"MAPK13","inflammatory",1
"MAPK14","inflammatory",1
"MAPK7","inflammatory",1
"MARCKSL1","inflammatory",1
"MAS1","inflammatory",1
"MASP1","inflammatory",1
"MASP2","inflammatory",1
"MAVS","inflammatory",1
"MB21D1","inflammatory",1
"MBTPS1","inflammatory",1
"MC3R","inflammatory",1
"MCL1","inflammatory",1
"MDM2","inflammatory",1
"MECOM","inflammatory",1
"MECP2","inflammatory",1
"MEN1","inflammatory",1
"MEPE","inflammatory",1
"MERTK","inflammatory",1
"MFGE8","inflammatory",1
"MGARP","inflammatory",1
"MGMT","inflammatory",1
"MGP","inflammatory",1
"MIA","inflammatory",1
"MICB","inflammatory",1
"MIR106B","inflammatory",1
"MIR10A","inflammatory",1
"MIR1266","inflammatory",1
"MIR135B","inflammatory",1
"MIR192","inflammatory",1
"MIR194-1","inflammatory",1
"MIR200C","inflammatory",1
"MIR203","inflammatory",1
"MIR205","inflammatory",1
"MIR214","inflammatory",1
"MIR23B","inflammatory",1
"MIR26A1","inflammatory",1
"MIR34A","inflammatory",1
"MIR378A","inflammatory",1
"MIR490","inflammatory",1
"MIR491","inflammatory",1
"MIR499A","inflammatory",1
"MIR-7","inflammatory",1
"MIR708","inflammatory",1
"MIR99A","inflammatory",1
"MME","inflammatory",1
"MMP14","inflammatory",1
"MMP19","inflammatory",1
"MMP7","inflammatory",1
"MMP8","inflammatory",1
"MPZ","inflammatory",1
"MRC1","inflammatory",1
"MRGPRF","inflammatory",1
"MRPL49","inflammatory",1
"MRSS","inflammatory",1
"MSH5","inflammatory",1
"MSN","inflammatory",1
"MSR1","inflammatory",1
"MSTN","inflammatory",1
"MSX2","inflammatory",1
"MTA2","inflammatory",1
"MTFMT","inflammatory",1
"MUC16","inflammatory",1
"MVD","inflammatory",1
"MX1","inflammatory",1
"MYOM2","inflammatory",1
"NAB2","inflammatory",1
"NAPA","inflammatory",1
"NCF1","inflammatory",1
"NCF2","inflammatory",1
"NCF4","inflammatory",1
"NCR1","inflammatory",1
"NDC80","inflammatory",1
"NDUFB6","inflammatory",1
"NFE2","inflammatory",1
"NFIL3","inflammatory",1
"NMU","inflammatory",1
"NOG","inflammatory",1
"NOS1","inflammatory",1
"NOTCH2","inflammatory",1
"NOX1","inflammatory",1
"NPPB","inflammatory",1
"NPS","inflammatory",1
"NPTX1","inflammatory",1
"NR0B1","inflammatory",1
"NR4A1","inflammatory",1
"NRD1","inflammatory",1
"NRIP1","inflammatory",1
"NTM","inflammatory",1
"NTN1","inflammatory",1
"NUBP1","inflammatory",1
"NUCB2","inflammatory",1
"NUP62","inflammatory",1
"OCA2","inflammatory",1
"OCLN","inflammatory",1
"ODC1","inflammatory",1
"OLR1","inflammatory",1
"OPRM1","inflammatory",1
"ORAI1","inflammatory",1
"ORMDL3","inflammatory",1
"PADI2","inflammatory",1
"PDC","inflammatory",1
"PDE4A","inflammatory",1
"PDGFB","inflammatory",1
"PDGFRA","inflammatory",1
"PDGFRB","inflammatory",1
"PDLIM4","inflammatory",1
"PECAM1","inflammatory",1
"PGLYRP1","inflammatory",1
"PIK3CG","inflammatory",1
"PIN1","inflammatory",1
"PLA2G10","inflammatory",1
"PLA2G7","inflammatory",1
"PLAU","inflammatory",1
"PLD2","inflammatory",1
"PLEKHO1","inflammatory",1
"PLS3","inflammatory",1
"PML","inflammatory",1
"PMP22","inflammatory",1
"PNKP","inflammatory",1
"POLD3","inflammatory",1
"POLR3A","inflammatory",1
"PPARA","inflammatory",1
"PPARD","inflammatory",1
"PPARGC1B","inflammatory",1
"PPIA","inflammatory",1
"PPP1R12C","inflammatory",1
"PPP2R4","inflammatory",1
"PRDM1","inflammatory",1
"PRDX1","inflammatory",1
"PRDX2","inflammatory",1
"PRG4","inflammatory",1
"PRINS","inflammatory",1
"PRKAA1","inflammatory",1
"PRKAB1","inflammatory",1
"PRKCA","inflammatory",1
"PRKCD","inflammatory",1
"PRKCQ","inflammatory",1
"PRKD1","inflammatory",1
"PRMT5","inflammatory",1
"PROK2","inflammatory",1
"PSMB8","inflammatory",1
"PSORS1C1","inflammatory",1
"PSORS4","inflammatory",1
"PSS","inflammatory",1
"PTBP1","inflammatory",1
"PTGER2","inflammatory",1
"PTGES","inflammatory",1
"PTH1R","inflammatory",1
"PTHLH","inflammatory",1
"PTP4A1","inflammatory",1
"PTPN11","inflammatory",1
"PTPN2","inflammatory",1
"PTPRC","inflammatory",1
"PTPRJ","inflammatory",1
"PTRH1","inflammatory",1
"PXK","inflammatory",1
"PYCARD","inflammatory",1
"QPCT","inflammatory",1
"RAC1","inflammatory",1
"RAD51","inflammatory",1
"RAF1","inflammatory",1
"RARRES3","inflammatory",1
"RBFOX2","inflammatory",1
"REG1A","inflammatory",1
"REG4","inflammatory",1
"RFX1","inflammatory",1
"RHBDF2","inflammatory",1
"RHBDL2","inflammatory",1
"RHCE","inflammatory",1
"RHD","inflammatory",1
"RHOB","inflammatory",1
"RHOBTB2","inflammatory",1
"RHOV","inflammatory",1
"RICTOR","inflammatory",1
"RIN3","inflammatory",1
"RIPK3","inflammatory",1
"RNF186","inflammatory",1
"RNR2","inflammatory",1
"RPL17","inflammatory",1
"RPTOR","inflammatory",1
"RRP1","inflammatory",1
"RRP8","inflammatory",1
"RSPO1","inflammatory",1
"RTCA","inflammatory",1
"RTN1","inflammatory",1
"RUNX2","inflammatory",1
"RXFP2","inflammatory",1
"RYR1","inflammatory",1
"S100A1","inflammatory",1
"S100A14","inflammatory",1
"S100A7","inflammatory",1
"SATB2","inflammatory",1
"SCAI","inflammatory",1
"SCGB1A1","inflammatory",1
"SCN9A","inflammatory",1
"SCT","inflammatory",1
"SDC4","inflammatory",1
"SEMA3A","inflammatory",1
"SEMA3E","inflammatory",1
"SEMG1","inflammatory",1
"SENP1","inflammatory",1
"SERP1","inflammatory",1
"SERPINA4","inflammatory",1
"SERPINA5","inflammatory",1
"SERPINA6","inflammatory",1
"SERPINB13","inflammatory",1
"SERPINC1","inflammatory",1
"SERPINE2","inflammatory",1
"SERPINF1","inflammatory",1
"SERPINH1","inflammatory",1
"SETBP1","inflammatory",1
"SETX","inflammatory",1
"SH2B2","inflammatory",1
"SHBG","inflammatory",1
"SIGIRR","inflammatory",1
"SIGLEC1","inflammatory",1
"SIK3","inflammatory",1
"SIRT6","inflammatory",1
"SLAMF1","inflammatory",1
"SLC11A2","inflammatory",1
"SLC16A4","inflammatory",1
"SLC19A1","inflammatory",1
"SLC22A4","inflammatory",1
"SLC22A5","inflammatory",1
"SLC30A10","inflammatory",1
"SLC3A2","inflammatory",1
"SLC51A","inflammatory",1
"SLC9A3","inflammatory",1
"SLCO6A1","inflammatory",1
"SLEB3","inflammatory",1
"SLPI","inflammatory",1
"SMAD2","inflammatory",1
"SMAD3","inflammatory",1
"SMAD4","inflammatory",1
"SMAD5","inflammatory",1
"SMAD6","inflammatory",1
"SMURF1","inflammatory",1
"SNRPD1","inflammatory",1
"SNRPG","inflammatory",1
"SOD2","inflammatory",1
"SOD3","inflammatory",1
"SOX5","inflammatory",1
"SOX6","inflammatory",1
"SPARC","inflammatory",1
"SPAST","inflammatory",1
"SPG7","inflammatory",1
"SPHK1","inflammatory",1
"SPHK2","inflammatory",1
"SPINK1","inflammatory",1
"SPRED2","inflammatory",1
"SPTAN1","inflammatory",1
"SQRDL","inflammatory",1
"SQSTM1","inflammatory",1
"SSRP1","inflammatory",1
"SSTR5","inflammatory",1
"ST3GAL4","inflammatory",1
"ST8","inflammatory",1
"STAT5A","inflammatory",1
"STEAP4","inflammatory",1
"SUCNR1","inflammatory",1
"SYNPR","inflammatory",1
"TARDBP","inflammatory",1
"TBCA","inflammatory",1
"TBCE","inflammatory",1
"TBK1","inflammatory",1
"TBX5","inflammatory",1
"TCF7L2","inflammatory",1
"TCIRG1","inflammatory",1
"TCN2","inflammatory",1
"TFF3","inflammatory",1
"TFRC","inflammatory",1
"TG","inflammatory",1
"TGFA","inflammatory",1
"TGM1","inflammatory",1
"TGM2","inflammatory",1
"TH1L","inflammatory",1
"TIMP4","inflammatory",1
"TJP1","inflammatory",1
"TKT","inflammatory",1
"TLR1","inflammatory",1
"TLR5","inflammatory",1
"TMED1","inflammatory",1
"TMEM106C","inflammatory",1
"TMEM11","inflammatory",1
"TMEM201","inflammatory",1
"TNFAIP1","inflammatory",1
"TNFAIP6","inflammatory",1
"TNFAIP8L2","inflammatory",1
"TNFRSF11A","inflammatory",1
"TNFRSF13C","inflammatory",1
"TNFRSF17","inflammatory",1
"TNFRSF18","inflammatory",1
"TNFSF18","inflammatory",1
"TOP1","inflammatory",1
"TOP2A","inflammatory",1
"TPH1","inflammatory",1
"TPM3","inflammatory",1
"TPMT","inflammatory",1
"TPO","inflammatory",1
"TRAF1","inflammatory",1
"TRAP1","inflammatory",1
"TREX2","inflammatory",1
"TRH","inflammatory",1
"TRIB1","inflammatory",1
"TRIM69","inflammatory",1
"TRPA1","inflammatory",1
"TRPV3","inflammatory",1
"TRPV4","inflammatory",1
"TSHR","inflammatory",1
"TST","inflammatory",1
"TTR","inflammatory",1
"TWIST1","inflammatory",1
"TYROBP","inflammatory",1
"UBAC2","inflammatory",1
"UBE2L3","inflammatory",1
"UCN","inflammatory",1
"UGCG","inflammatory",1
"UNC5B","inflammatory",1
"UPK3B","inflammatory",1
"UTS2","inflammatory",1
"VCP","inflammatory",1
"VEGFC","inflammatory",1
"VGLL3","inflammatory",1
"VHL","inflammatory",1
"VHLL","inflammatory",1
"VKORC1","inflammatory",1
"VNN1","inflammatory",1
"VPS35","inflammatory",1
"VSIG4","inflammatory",1
"VSTM1","inflammatory",1
"VTCN1","inflammatory",1
"WDFY4","inflammatory",1
"WFDC21P","inflammatory",1
"WG","inflammatory",1
"WIF1","inflammatory",1
"WNT1","inflammatory",1
"WNT10B","inflammatory",1
"WNT16","inflammatory",1
"WNT4","inflammatory",1
"XRCC1","inflammatory",1
"XRCC3","inflammatory",1
"YBX1","inflammatory",1
"YBX3","inflammatory",1
"ZDHHC13","inflammatory",1
"ZNF398","inflammatory",1
"ZNF423","inflammatory",1
"ZNF467","inflammatory",1
"ZNF750","inflammatory",1
"ZNF77","inflammatory",1
"BDNF","psychiatric",9
"COMT","psychiatric",9
"TNF","psychiatric",9
"APOE","psychiatric",8
"CRP","psychiatric",8
"IL6","psychiatric",8
"NTF3","psychiatric",8
"SLC6A4","psychiatric",8
"AVP","psychiatric",7
"CCL2","psychiatric",7
"CRH","psychiatric",7
"DRD2","psychiatric",7
"GH1","psychiatric",7
"GRM5","psychiatric",7
"GSK3B","psychiatric",7
"IGF1","psychiatric",7
"LEP","psychiatric",7
"MAOA","psychiatric",7
"MTHFR","psychiatric",7
"NGF","psychiatric",7
"NTRK2","psychiatric",7
"S100B","psychiatric",7
"SST","psychiatric",7
"SUPEROXIDE DISMUTASE","psychiatric",7
"ABCB1","psychiatric",6
"ACHE","psychiatric",6
"ADIPOQ","psychiatric",6
"AKT1","psychiatric",6
"APP","psychiatric",6
"BCHE","psychiatric",6
"CHRNA4","psychiatric",6
"CNR1","psychiatric",6
"CTNNB1","psychiatric",6
"DBH","psychiatric",6
"EBPL","psychiatric",6
"EPO","psychiatric",6
"FMR1","psychiatric",6
"GFAP","psychiatric",6
"GRIN2B","psychiatric",6
"GRN","psychiatric",6
"GSK-3","psychiatric",6
"HDAC","psychiatric",6
"HTR1A","psychiatric",6
"HTR2A","psychiatric",6
"IL8","psychiatric",6
"MAOB","psychiatric",6
"MMP9","psychiatric",6
"MTOR","psychiatric",6
"NF-KB","psychiatric",6
"OPN1SW","psychiatric",6
"PPARG","psychiatric",6
"PRL","psychiatric",6
"PTPN4","psychiatric",6
"SLC1A2","psychiatric",6
"SLC6A3","psychiatric",6
"TGFB1","psychiatric",6
"TP53","psychiatric",6
"UBIQUITIN","psychiatric",6
"ALB","psychiatric",5
"BCL2","psychiatric",5
"C9ORF72","psychiatric",5
"CALB1","psychiatric",5
"CEBPZ","psychiatric",5
"CYP2D6","psychiatric",5
"ENPEP","psychiatric",5
"ESR1","psychiatric",5
"FGF2","psychiatric",5
"GCG","psychiatric",5
"GDNF","psychiatric",5
"GRM2","psychiatric",5
"HGF","psychiatric",5
"HP","psychiatric",5
"HPSE","psychiatric",5
"HSPA4","psychiatric",5
"HTR1F","psychiatric",5
"HTT","psychiatric",5
"IFNG","psychiatric",5
"IL10","psychiatric",5
"IL1B","psychiatric",5
"MAPK1","psychiatric",5
"NR3C1","psychiatric",5
"NTS","psychiatric",5
"SGCA","psychiatric",5
"SIRT1","psychiatric",5
"SP1","psychiatric",5
"SUBSTANCE P","psychiatric",5
"SYNM","psychiatric",5
"TARDBP","psychiatric",5
"TF","psychiatric",5
"TLR4","psychiatric",5
"TPH2","psychiatric",5
"TREM2","psychiatric",5
"TYMS","psychiatric",5
"VEGFA","psychiatric",5
"ACE","psychiatric",4
"ACTH","psychiatric",4
"ADORA2A","psychiatric",4
"ADRB2","psychiatric",4
"ALDH2","psychiatric",4
"APOB","psychiatric",4
"CACNA1C","psychiatric",4
"CASP1","psychiatric",4
"CASP3","psychiatric",4
"CAT","psychiatric",4
"CCK","psychiatric",4
"CFP","psychiatric",4
"CHRNA7","psychiatric",4
"CLU","psychiatric",4
"CP","psychiatric",4
"CREB1","psychiatric",4
"DISC1","psychiatric",4
"DRD3","psychiatric",4
"EFHD2","psychiatric",4
"ENO2","psychiatric",4
"FAAH","psychiatric",4
"GAD1","psychiatric",4
"GAP43","psychiatric",4
"GHRH","psychiatric",4
"GPI","psychiatric",4
"GRIN1","psychiatric",4
"GRIN2A","psychiatric",4
"HCRT","psychiatric",4
"HDAC4","psychiatric",4
"HMGB1","psychiatric",4
"HTR2C","psychiatric",4
"HTR4","psychiatric",4
"HTR7","psychiatric",4
"IGKV2D-29","psychiatric",4
"IL1","psychiatric",4
"IL2","psychiatric",4
"INS","psychiatric",4
"LRRK2","psychiatric",4
"MAPK3","psychiatric",4
"MAPT","psychiatric",4
"MCF2L","psychiatric",4
"MCIDAS","psychiatric",4
"MCIN","psychiatric",4
"NCAM1","psychiatric",4
"NFE2L2","psychiatric",4
"NFKB1","psychiatric",4
"NGFR","psychiatric",4
"NPY","psychiatric",4
"NRG1","psychiatric",4
"OFC1","psychiatric",4
"P2RX7","psychiatric",4
"PPARGC1A","psychiatric",4
"PREP","psychiatric",4
"PRNP","psychiatric",4
"PTGS2","psychiatric",4
"RELN","psychiatric",4
"RTN4","psychiatric",4
"SIGMAR1","psychiatric",4
"SIRT2","psychiatric",4
"SLC18A2","psychiatric",4
"SLC6A2","psychiatric",4
"SNCA","psychiatric",4
"SORT1","psychiatric",4
"TGM2","psychiatric",4
"TH","psychiatric",4
"TLR2","psychiatric",4
"TPO","psychiatric",4
"TRH","psychiatric",4
"TSPO","psychiatric",4
"TTR","psychiatric",4
"VCP","psychiatric",4
"ACTB","psychiatric",3
"ADNP","psychiatric",3
"ANGIOTENSIN II","psychiatric",3
"APOA1","psychiatric",3
"APOD","psychiatric",3
"AR","psychiatric",3
"ARC","psychiatric",3
"ARSD","psychiatric",3
"BACE1","psychiatric",3
"BAX","psychiatric",3
"C9ORF3","psychiatric",3
"CACNA1D","psychiatric",3
"CALB2","psychiatric",3
"CASP9","psychiatric",3
"CCR5","psychiatric",3
"CD2AP","psychiatric",3
"CD74","psychiatric",3
"CDK5","psychiatric",3
"CDK5R1","psychiatric",3
"CDR1","psychiatric",3
"CHI3L1","psychiatric",3
"CIT","psychiatric",3
"CNTNAP2","psychiatric",3
"CSF2","psychiatric",3
"CSF3","psychiatric",3
"CST3","psychiatric",3
"CX3CL1","psychiatric",3
"CXCL10","psychiatric",3
"CYCS","psychiatric",3
"DDIT4","psychiatric",3
"DLG4","psychiatric",3
"DNM1L","psychiatric",3
"DNMT3B","psychiatric",3
"DOCK3","psychiatric",3
"DPYD","psychiatric",3
"DRD1","psychiatric",3
"DYT10","psychiatric",3
"EGF","psychiatric",3
"EGFR","psychiatric",3
"FASLG","psychiatric",3
"FKBP5","psychiatric",3
"FLVCR1","psychiatric",3
"FOS","psychiatric",3
"GAPDH","psychiatric",3
"GDF15","psychiatric",3
"GLO1","psychiatric",3
"GLS","psychiatric",3
"GLUL","psychiatric",3
"GRIA2","psychiatric",3
"GSTM1","psychiatric",3
"GSTP1","psychiatric",3
"GTS","psychiatric",3
"HLA-DRB4","psychiatric",3
"HOMER1","psychiatric",3
"HPGDS","psychiatric",3
"HTR1B","psychiatric",3
"HTR5A","psychiatric",3
"ICAM1","psychiatric",3
"IDE","psychiatric",3
"IL12","psychiatric",3
"IL17A","psychiatric",3
"IL18","psychiatric",3
"IL1RN","psychiatric",3
"IL4","psychiatric",3
"INSR","psychiatric",3
"KCNMA1","psychiatric",3
"KLK6","psychiatric",3
"LRP2","psychiatric",3
"MAP2","psychiatric",3
"MAPK8","psychiatric",3
"MBP","psychiatric",3
"MECP2","psychiatric",3
"MIA","psychiatric",3
"MIF","psychiatric",3
"MIR132","psychiatric",3
"MME","psychiatric",3
"MMP3","psychiatric",3
"MPO","psychiatric",3
"NCL","psychiatric",3
"NLRP1","psychiatric",3
"NOS1","psychiatric",3
"NOS2","psychiatric",3
"NPS","psychiatric",3
"NRGN","psychiatric",3
"OXT","psychiatric",3
"OXTR","psychiatric",3
"PACAP","psychiatric",3
"PAM","psychiatric",3
"PDE10A","psychiatric",3
"PDE4A","psychiatric",3
"PDLIM5","psychiatric",3
"PLA2G1B","psychiatric",3
"PLA2G7","psychiatric",3
"PLAT","psychiatric",3
"POMC","psychiatric",3
"PON1","psychiatric",3
"PPP1R1B","psychiatric",3
"PRKAA1","psychiatric",3
"PRRT2","psychiatric",3
"PSD","psychiatric",3
"PSEN1","psychiatric",3
"PTEN","psychiatric",3
"PVALB","psychiatric",3
"RGS4","psychiatric",3
"SAA1","psychiatric",3
"SCT","psychiatric",3
"SELENBP1","psychiatric",3
"SHANK3","psychiatric",3
"SLC16A1","psychiatric",3
"SLC17A7","psychiatric",3
"SLC6A1","psychiatric",3
"SMPD1","psychiatric",3
"SPP1","psychiatric",3
"SYP","psychiatric",3
"SYT1","psychiatric",3
"TACR1","psychiatric",3
"TBP","psychiatric",3
"TFRC","psychiatric",3
"UCHL1","psychiatric",3
"VDR","psychiatric",3
"VEGFB","psychiatric",3
"VGF","psychiatric",3
"XBP1","psychiatric",3
"AAVS1","psychiatric",2
"ABAT","psychiatric",2
"ABCA1","psychiatric",2
"ABCG2","psychiatric",2
"ABL1","psychiatric",2
"ADCYAP1","psychiatric",2
"ADM","psychiatric",2
"AGPS","psychiatric",2
"AGTR1","psychiatric",2
"AGXT","psychiatric",2
"AGXT2L1","psychiatric",2
"AHI1","psychiatric",2
"ALDH1A1","psychiatric",2
"ALDH7A1","psychiatric",2
"ALOX5","psychiatric",2
"ANG","psychiatric",2
"ANK3","psychiatric",2
"APEX1","psychiatric",2
"APH1A","psychiatric",2
"AQP4","psychiatric",2
"ARNTL","psychiatric",2
"ARRB1","psychiatric",2
"ARTN","psychiatric",2
"ASCL1","psychiatric",2
"ASMT","psychiatric",2
"ATF4","psychiatric",2
"ATM","psychiatric",2
"ATP13A2","psychiatric",2
"ATP7B","psychiatric",2
"ATXN3","psychiatric",2
"AUTS2","psychiatric",2
"B2M","psychiatric",2
"BACE2","psychiatric",2
"BECN1","psychiatric",2
"BP2","psychiatric",2
"BRD1","psychiatric",2
"C4B","psychiatric",2
"CA4","psychiatric",2
"CACNA1A","psychiatric",2
"CAMK2G","psychiatric",2
"CASP2","psychiatric",2
"CASP6","psychiatric",2
"CAST","psychiatric",2
"CAV1","psychiatric",2
"CCL5","psychiatric",2
"CD200","psychiatric",2
"CD38","psychiatric",2
"CD40LG","psychiatric",2
"CD79A","psychiatric",2
"CDKN1A","psychiatric",2
"CETP","psychiatric",2
"CFH","psychiatric",2
"CHRM1","psychiatric",2
"CNR2","psychiatric",2
"CNTF","psychiatric",2
"COL25A1","psychiatric",2
"COQ2","psychiatric",2
"CR1","psychiatric",2
"CREBBP","psychiatric",2
"CRHR1","psychiatric",2
"CRYAB","psychiatric",2
"CTNND2","psychiatric",2
"CTSB","psychiatric",2
"CTSD","psychiatric",2
"CX3CR1","psychiatric",2
"CYBB","psychiatric",2
"CYFIP1","psychiatric",2
"DAO","psychiatric",2
"DAOA","psychiatric",2
"DAOA-AS1","psychiatric",2
"DCR","psychiatric",2
"DDC","psychiatric",2
"DGCR8","psychiatric",2
"DHH","psychiatric",2
"DKK1","psychiatric",2
"DLGAP2","psychiatric",2
"DMTN","psychiatric",2
"DNMT1","psychiatric",2
"DPP4","psychiatric",2
"DPYSL2","psychiatric",2
"DRD4","psychiatric",2
"DRD5","psychiatric",2
"DST","psychiatric",2
"DYM","psychiatric",2
"DYRK1A","psychiatric",2
"ECD","psychiatric",2
"EDN1","psychiatric",2
"EEF2K","psychiatric",2
"EIF4E","psychiatric",2
"EN2","psychiatric",2
"EP300","psychiatric",2
"EPHB2","psychiatric",2
"ESCO1","psychiatric",2
"ESR2","psychiatric",2
"F2","psychiatric",2
"FABP3","psychiatric",2
"FABP7","psychiatric",2
"FAS","psychiatric",2
"FGF9","psychiatric",2
"FKBP4","psychiatric",2
"FOXO3","psychiatric",2
"FOXP1","psychiatric",2
"FOXP2","psychiatric",2
"FUS","psychiatric",2
"FYN","psychiatric",2
"GABRB2","psychiatric",2
"GBA","psychiatric",2
"GCH1","psychiatric",2
"GET4","psychiatric",2
"GIF","psychiatric",2
"GJA1","psychiatric",2
"GOPC","psychiatric",2
"GPR37","psychiatric",2
"GRIA1","psychiatric",2
"GRID1","psychiatric",2
"GRIK2","psychiatric",2
"GRIN2D","psychiatric",2
"GRK5","psychiatric",2
"GRM1","psychiatric",2
"GRM3","psychiatric",2
"GRM4","psychiatric",2
"GRM7","psychiatric",2
"GRM8","psychiatric",2
"GSR","psychiatric",2
"GSTO1","psychiatric",2
"GSTT1","psychiatric",2
"HCRTR1","psychiatric",2
"HERPUD1","psychiatric",2
"HFE","psychiatric",2
"HINT1","psychiatric",2
"HLA-B","psychiatric",2
"HLA-DRB1","psychiatric",2
"HMOX1","psychiatric",2
"HSF1","psychiatric",2
"HSPA8","psychiatric",2
"HSPA9","psychiatric",2
"HTR6","psychiatric",2
"HTRA2","psychiatric",2
"IDH1","psychiatric",2
"IER3IP1","psychiatric",2
"IFNA1","psychiatric",2
"IFNB1","psychiatric",2
"IGHM","psychiatric",2
"IL23A","psychiatric",2
"IL2RA","psychiatric",2
"IL6R","psychiatric",2
"IMPA2","psychiatric",2
"INSRR","psychiatric",2
"ITM2B","psychiatric",2
"JUN","psychiatric",2
"KALRN","psychiatric",2
"KCNJ10","psychiatric",2
"KCNJ13","psychiatric",2
"KCNK2","psychiatric",2
"KDR","psychiatric",2
"KIAA0319","psychiatric",2
"KITLG","psychiatric",2
"KLK4","psychiatric",2
"KMO","psychiatric",2
"LBP","psychiatric",2
"LCN2","psychiatric",2
"LEPR","psychiatric",2
"LIF","psychiatric",2
"LINGO1","psychiatric",2
"LPA","psychiatric",2
"LYPD4","psychiatric",2
"LYZ","psychiatric",2
"MAMLD1","psychiatric",2
"MBD5","psychiatric",2
"MDK","psychiatric",2
"MEGF10","psychiatric",2
"MFGE8","psychiatric",2
"MGLL","psychiatric",2
"MIR137","psychiatric",2
"MIR16-1","psychiatric",2
"MIR182","psychiatric",2
"MIR195","psychiatric",2
"MIR206","psychiatric",2
"MIR29C","psychiatric",2
"MIR34A","psychiatric",2
"MSC","psychiatric",2
"MT-CO1","psychiatric",2
"MTR","psychiatric",2
"NCS1","psychiatric",2
"NDST3","psychiatric",2
"NDUFV2","psychiatric",2
"NEAT1","psychiatric",2
"NKX2-1","psychiatric",2
"NLN","psychiatric",2
"NLRP3","psychiatric",2
"NMS","psychiatric",2
"NOS3","psychiatric",2
"NOTCH4","psychiatric",2
"NPC1","psychiatric",2
"NPPA","psychiatric",2
"NPSR1","psychiatric",2
"NPY4R","psychiatric",2
"NR4A2","psychiatric",2
"NRXN1","psychiatric",2
"NTRK1","psychiatric",2
"NUFIP2","psychiatric",2
"OGDH","psychiatric",2
"OGT","psychiatric",2
"OPRK1","psychiatric",2
"OPRM1","psychiatric",2
"OR2AG1","psychiatric",2
"PAEP","psychiatric",2
"PAK1","psychiatric",2
"PARK2","psychiatric",2
"PARK7","psychiatric",2
"PARP1","psychiatric",2
"PAWR","psychiatric",2
"PDC","psychiatric",2
"PDE4B","psychiatric",2
"PICALM","psychiatric",2
"PIK3CD","psychiatric",2
"PINK1","psychiatric",2
"PLA2G4A","psychiatric",2
"PLA2G6","psychiatric",2
"PLG","psychiatric",2
"PNMT","psychiatric",2
"PNN","psychiatric",2
"POLG","psychiatric",2
"PPARA","psychiatric",2
"PPP2R4","psychiatric",2
"PRB1","psychiatric",2
"PRDX5","psychiatric",2
"PRKAB1","psychiatric",2
"PRKCD","psychiatric",2
"PRKCI","psychiatric",2
"PRS","psychiatric",2
"PRSS3","psychiatric",2
"PSEN2","psychiatric",2
"PTH","psychiatric",2
"PTPRC","psychiatric",2
"PYCARD","psychiatric",2
"PYY","psychiatric",2
"QPCT","psychiatric",2
"RAB39B","psychiatric",2
"RANBP9","psychiatric",2
"RBFOX3","psychiatric",2
"RCAN1","psychiatric",2
"REST","psychiatric",2
"RORA","psychiatric",2
"RPTN","psychiatric",2
"RTN4R","psychiatric",2
"SCN1A","psychiatric",2
"SCN2A","psychiatric",2
"SEMA5A","psychiatric",2
"SEPT5","psychiatric",2
"SERPINA3","psychiatric",2
"SERPINE1","psychiatric",2
"SERPINF1","psychiatric",2
"SERPINF2","psychiatric",2
"SERPINI1","psychiatric",2
"SHANK2","psychiatric",2
"SHC2","psychiatric",2
"SHH","psychiatric",2
"SLC12A2","psychiatric",2
"SLC12A5","psychiatric",2
"SLC18A1","psychiatric",2
"SLC25A3","psychiatric",2
"SMAD3","psychiatric",2
"SNAP25","psychiatric",2
"SOD1","psychiatric",2
"SOD2","psychiatric",2
"SORL1","psychiatric",2
"SPON1","psychiatric",2
"SQSTM1","psychiatric",2
"ST3GAL4","psychiatric",2
"STAT3","psychiatric",2
"STH","psychiatric",2
"STX1A","psychiatric",2
"SULT2A1","psychiatric",2
"SYN2","psychiatric",2
"SYNGR1","psychiatric",2
"SYNJ1","psychiatric",2
"TBC1D9","psychiatric",2
"TCF4","psychiatric",2
"TDO2","psychiatric",2
"TFAM","psychiatric",2
"TFEB","psychiatric",2
"TIMP1","psychiatric",2
"TKT","psychiatric",2
"TNFRSF10A","psychiatric",2
"TNFSF10","psychiatric",2
"TOMM40","psychiatric",2
"TPH1","psychiatric",2
"TRIT1","psychiatric",2
"TRPC1","psychiatric",2
"TSC1","psychiatric",2
"TYROBP","psychiatric",2
"UBB","psychiatric",2
