node,mod,degree,annot
removal of aminoterminal propeptides from gamma carboxylated proteins,9,16.4759532711662,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
signaling by notch,10,1737.51112429954,NOTCH and FOXO mediated gene expression
signaling by notch1 pest domain mutants in cancer,10,1420.65895950214,NOTCH and FOXO mediated gene expression
signaling by notch1,10,1416.16119391482,NOTCH and FOXO mediated gene expression
p75 ntr receptor mediated signalling,10,1353.98163433607,NOTCH and FOXO mediated gene expression
nrif signals cell death from the nucleus,10,1095.04294873975,NOTCH and FOXO mediated gene expression
cell death signalling via nrage nrif and nade,10,1045.39461920999,NOTCH and FOXO mediated gene expression
regulated proteolysis of p75ntr,10,1033.13489171883,NOTCH and FOXO mediated gene expression
signaling by notch3,10,965.585962593651,NOTCH and FOXO mediated gene expression
signaling by notch4,10,963.515702582175,NOTCH and FOXO mediated gene expression
signaling by notch2,10,882.180383874047,NOTCH and FOXO mediated gene expression
eph ephrin signaling,10,758.225237892496,NOTCH and FOXO mediated gene expression
eph ephrin mediated repulsion of cells,10,729.3724230212,NOTCH and FOXO mediated gene expression
notch1 intracellular domain regulates transcription,10,678.635561114985,NOTCH and FOXO mediated gene expression
foxo mediated transcription,10,550.545982582902,NOTCH and FOXO mediated gene expression
activated notch1 transmits signal to the nucleus,10,430.291097325905,NOTCH and FOXO mediated gene expression
notch2 activation and transmission of signal to the nucleus,10,412.423547614965,NOTCH and FOXO mediated gene expression
notch3 activation and transmission of signal to the nucleus,10,397.021940134138,NOTCH and FOXO mediated gene expression
notch4 activation and transmission of signal to the nucleus,10,379.022803768504,NOTCH and FOXO mediated gene expression
amyloid fiber formation,10,262.115225273989,NOTCH and FOXO mediated gene expression
circadian clock,10,202.282080912853,NOTCH and FOXO mediated gene expression
foxo mediated transcription of oxidative stress metabolic and neuronal genes,10,173.292815150458,NOTCH and FOXO mediated gene expression
transcriptional regulation of white adipocyte differentiation,10,145.603239292555,NOTCH and FOXO mediated gene expression
regulation of foxo transcriptional activity by acetylation,10,143.908236106199,NOTCH and FOXO mediated gene expression
mitochondrial biogenesis,10,141.876812299203,NOTCH and FOXO mediated gene expression
foxo mediated transcription of cell cycle genes,10,130.961616133755,NOTCH and FOXO mediated gene expression
notch hlh transcription pathway,10,119.336974759538,NOTCH and FOXO mediated gene expression
ephb mediated forward signaling,10,105.921782005937,NOTCH and FOXO mediated gene expression
p75ntr regulates axonogenesis,10,62.0444552639345,NOTCH and FOXO mediated gene expression
transcriptional activation of mitochondrial biogenesis,10,51.1595912737272,NOTCH and FOXO mediated gene expression
activation of ppargc1a pgc 1alpha by phosphorylation,10,27.0345510729176,NOTCH and FOXO mediated gene expression
regulation of gene expression in beta cells,10,16.2923396015808,NOTCH and FOXO mediated gene expression
regulation of tp53 activity through acetylation,10,15.6267459775709,NOTCH and FOXO mediated gene expression
regulation of beta cell development,10,13.8271712756386,NOTCH and FOXO mediated gene expression
foxo mediated transcription of cell death genes,10,11.849527103571,NOTCH and FOXO mediated gene expression
initial triggering of complement,11,99.252521585158,Complement activation and cascade
complement cascade,11,99.252521585158,Complement activation and cascade
toll like receptor 4 tlr4 cascade,12,3831.84235216886,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
myd88 independent tlr4 cascade ,12,3815.88683668767,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
toll like receptor cascades,12,3691.44494011323,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
toll like receptor tlr1 tlr2 cascade,12,3630.26727910069,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
toll like receptor 9 tlr9 cascade,12,3540.73412728835,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
toll like receptor 10 tlr10 cascade,12,3501.49823894801,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
interleukin 1 signaling,12,3008.3228499907,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
interleukin 1 family signaling,12,2716.27863833495,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
interleukin 17 signaling,12,2427.95183282171,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
tak1 activates nfkb by phosphorylation and activation of ikks complex,12,2383.04277149463,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
death receptor signalling,12,2354.47171867141,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
fc epsilon receptor fceri signaling,12,2236.56322845447,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
clec7a dectin 1 signaling,12,2172.31430174354,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
c type lectin receptors clrs ,12,2164.74317352018,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
ddx58 ifih1 mediated induction of interferon alpha beta,12,2028.22371338493,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways,12,1966.88016547522,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
tcr signaling,12,1948.71042697304,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
downstream signaling events of b cell receptor bcr ,12,1694.92640298566,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
traf6 mediated nf kb activation,12,1565.14484025133,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
p75ntr signals via nf kb,12,1473.28023193793,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
nod1 2 signaling pathway,12,1374.92575646412,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
nf kb is activated and signals survival,12,1366.57988424418,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
zbp1 dai mediated induction of type i ifns,12,1320.2143499774,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
cytosolic sensors of pathogen associated dna ,12,1260.16160377799,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
rip mediated nfkb activation via zbp1,12,1257.59520953174,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
diseases of immune system,12,1240.36732590591,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
antigen processing cross presentation,12,1084.82235520104,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
activated tak1 mediates p38 mapk activation,12,1074.84064242937,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
tnf signaling,12,1066.14951893515,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
tnfr1 induced nfkappab signaling pathway,12,939.334429319388,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
regulation of tnfr1 signaling,12,890.765757382355,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
the nlrp3 inflammasome,12,695.131880000509,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
purinergic signaling in leishmaniasis infection,12,619.373182578548,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
inflammasomes,12,605.999565423376,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
traf6 mediated irf7 activation,12,541.437374838026,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
jnk c jun kinases phosphorylation and activation mediated by activated human tak1,12,520.115974145145,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
ovarian tumor domain proteases,12,493.132414291773,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
traf3 dependent irf activation pathway,12,468.128222340583,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
irak1 recruits ikk complex,12,458.04375408565,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
negative regulators of ddx58 ifih1 signaling,12,442.30623242066,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
p75ntr recruits signalling complexes,12,435.699790346303,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
map3k8 tpl2 dependent mapk1 3 activation,12,405.280624481661,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
cd209 dc sign signaling,12,387.827960936029,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
ticam1 rip1 mediated ikk complex recruitment,12,382.522113896365,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
ikk complex recruitment mediated by rip1,12,335.464473853398,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
regulation of tlr by endogenous ligand,12,326.876451154346,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
nf kb activation through fadd rip 1 pathway mediated by caspase 8 and 10,12,316.419388929198,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
advanced glycosylation endproduct receptor signaling,12,296.867800872405,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
traf6 mediated irf7 activation in tlr7 8 or 9 signaling,12,275.429203729228,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
traf6 mediated induction of tak1 complex within tlr4 complex,12,274.86403007731,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
dectin 1 mediated noncanonical nf kb signaling,12,248.712306558226,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
tnfr1 induced proapoptotic signaling,12,220.559411757879,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
ticam1 traf6 dependent induction of tak1 complex,12,219.720578976172,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
sumoylation of immune response proteins,12,200.073479050623,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
irak4 deficiency tlr2 4 ,12,182.344803624351,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
activation of irf3 irf7 mediated by tbk1 ikk epsilon,12,157.471415734326,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
ticam1 dependent activation of irf3 irf7,12,85.8705892415133,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
regulation of innate immune responses to cytosolic dna,12,53.7360819832186,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
sting mediated induction of host immune responses,12,44.4160450907834,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
irf3 mediated induction of type i ifn,12,43.5567938061501,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
trafficking and processing of endosomal tlr,12,30.5919349324427,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
dscam interactions,12,25.8508677448782,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
interleukin 37 signaling,12,25.6668623435849,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
diseases of metabolism,12,11.90039877863,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
iron uptake and transport,13,12.9675610637919,Iron metabolism
metabolism of porphyrins,13,7.96839968864896,Iron metabolism
heme biosynthesis,13,4.99916137514292,Iron metabolism
metabolism of amino acids and derivatives,14,22.3200797949409,Aminoacid metabolism
phenylalanine and tyrosine metabolism,14,22.3200797949409,Aminoacid metabolism
