"Id","Label","Class"
"resolution of d loop structures","resolution of d loop structures","Term"
"homology directed repair","homology directed repair","Term"
"sensing of dna double strand breaks","sensing of dna double strand breaks","Term"
"resolution of d loop structures through synthesis dependent strand annealing sdsa","resolution of d loop structures through synthesis dependent strand annealing sdsa","Term"
"nonhomologous end joining nhej","nonhomologous end joining nhej","Term"
"homologous dna pairing and strand exchange","homologous dna pairing and strand exchange","Term"
"dna double strand break response","dna double strand break response","Term"
"processing of dna double strand break ends","processing of dna double strand break ends","Term"
"cargo concentration in the er","cargo concentration in the er","Term"
"dna damage recognition in gg ner","dna damage recognition in gg ner","Term"
"gap filling dna repair synthesis and ligation in gg ner","gap filling dna repair synthesis and ligation in gg ner","Term"
"global genome nucleotide excision repair gg ner","global genome nucleotide excision repair gg ner","Term"
"dual incision in gg ner","dual incision in gg ner","Term"
"highly sodium permeable acetylcholine nicotinic receptors","highly sodium permeable acetylcholine nicotinic receptors","Term"
"highly calcium permeable nicotinic acetylcholine receptors","highly calcium permeable nicotinic acetylcholine receptors","Term"
"rna polymerase ii pre transcription events","rna polymerase ii pre transcription events","Term"
"formation of tc ner pre incision complex","formation of tc ner pre incision complex","Term"
"transcription coupled nucleotide excision repair tc ner","transcription coupled nucleotide excision repair tc ner","Term"
"dual incision in tc ner","dual incision in tc ner","Term"
"trna modification in the nucleus and cytosol","trna modification in the nucleus and cytosol","Term"
"synthesis of wybutosine at g37 of trna phe","synthesis of wybutosine at g37 of trna phe","Term"
"interleukin 6 family signaling","interleukin 6 family signaling","Term"
"interleukin 10 signaling","interleukin 10 signaling","Term"
"trna processing in the nucleus","trna processing in the nucleus","Term"
"trna processing in the mitochondrion","trna processing in the mitochondrion","Term"
"erbb2 regulates cell motility","erbb2 regulates cell motility","Term"
"interleukin 4 and interleukin 13 signaling","interleukin 4 and interleukin 13 signaling","Term"
"trna modification in the mitochondrion","trna modification in the mitochondrion","Term"
"gdp fucose biosynthesis","gdp fucose biosynthesis","Term"
"il 6 type cytokine receptor ligand interactions","il 6 type cytokine receptor ligand interactions","Term"
"rrna modification in the nucleus and cytosol","rrna modification in the nucleus and cytosol","Term"
"tp53 regulates transcription of cell cycle genes","tp53 regulates transcription of cell cycle genes","Term"
"rrna modification in the mitochondrion","rrna modification in the mitochondrion","Term"
"neurexins and neuroligins","neurexins and neuroligins","Term"
"protein protein interactions at synapses","protein protein interactions at synapses","Term"
"tp53 regulates transcription of dna repair genes","tp53 regulates transcription of dna repair genes","Term"
"choline catabolism","choline catabolism","Term"
"neutrophil degranulation","neutrophil degranulation","Term"
"complex i biogenesis","complex i biogenesis","Term"
"metal sequestration by antimicrobial proteins","metal sequestration by antimicrobial proteins","Term"
"signaling by moderate kinase activity braf mutants","signaling by moderate kinase activity braf mutants","Term"
"signaling by ras mutants","signaling by ras mutants","Term"
"signaling by braf and raf fusions","signaling by braf and raf fusions","Term"
"oncogenic mapk signaling","oncogenic mapk signaling","Term"
"antimicrobial peptides","antimicrobial peptides","Term"
"tp53 regulates transcription of genes involved in cytochrome c release","tp53 regulates transcription of genes involved in cytochrome c release","Term"
"tp53 regulates transcription of several additional cell death genes whose specific roles in p53 dependent apoptosis remain uncertain","tp53 regulates transcription of several additional cell death genes whose specific roles in p53 dependent apoptosis remain uncertain","Term"
"tp53 regulates transcription of caspase activators and caspases","tp53 regulates transcription of caspase activators and caspases","Term"
"tp53 regulates transcription of death receptors and ligands","tp53 regulates transcription of death receptors and ligands","Term"
"fgfr2 alternative splicing","fgfr2 alternative splicing","Term"
"tp53 regulates transcription of genes involved in g2 cell cycle arrest","tp53 regulates transcription of genes involved in g2 cell cycle arrest","Term"
"tp53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain","tp53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain","Term"
"tp53 regulates transcription of genes involved in g1 cell cycle arrest","tp53 regulates transcription of genes involved in g1 cell cycle arrest","Term"
"regulation of tp53 activity through phosphorylation","regulation of tp53 activity through phosphorylation","Term"
"regulation of tp53 activity through acetylation","regulation of tp53 activity through acetylation","Term"
"regulation of tp53 activity through association with co factors","regulation of tp53 activity through association with co factors","Term"
"regulation of tp53 activity through methylation","regulation of tp53 activity through methylation","Term"
"keratinization","keratinization","Term"
"regulation of tp53 expression and degradation","regulation of tp53 expression and degradation","Term"
"metabolism of fat soluble vitamins","metabolism of fat soluble vitamins","Term"
"signaling by met","signaling by met","Term"
"met receptor activation","met receptor activation","Term"
"negative regulation of met activity","negative regulation of met activity","Term"
"pten regulation","pten regulation","Term"
"rna polymerase ii transcribes snrna genes","rna polymerase ii transcribes snrna genes","Term"
"copi mediated anterograde transport","copi mediated anterograde transport","Term"
"formation of the cornified envelope","formation of the cornified envelope","Term"
"copi dependent golgi to er retrograde traffic","copi dependent golgi to er retrograde traffic","Term"
"copi independent golgi to er retrograde traffic","copi independent golgi to er retrograde traffic","Term"
"intra golgi traffic","intra golgi traffic","Term"
"retrograde transport at the trans golgi network","retrograde transport at the trans golgi network","Term"
"intra golgi and retrograde golgi to er traffic","intra golgi and retrograde golgi to er traffic","Term"
"pi5p regulates tp53 acetylation","pi5p regulates tp53 acetylation","Term"
"cooperation of pdcl phlp1 and tric cct in g protein beta folding","cooperation of pdcl phlp1 and tric cct in g protein beta folding","Term"
"glycerophospholipid catabolism","glycerophospholipid catabolism","Term"
"assembly of the orc complex at the origin of replication","assembly of the orc complex at the origin of replication","Term"
"cdc6 association with the orc:origin complex","cdc6 association with the orc:origin complex","Term"
"mitotic prophase","mitotic prophase","Term"
"mitotic telophase cytokinesis","mitotic telophase cytokinesis","Term"
"m phase","m phase","Term"
"g2 phase","g2 phase","Term"
"dna replication initiation","dna replication initiation","Term"
"dna replication pre initiation","dna replication pre initiation","Term"
"switching of origins to a post replicative state","switching of origins to a post replicative state","Term"
"leading strand synthesis","leading strand synthesis","Term"
"cyclin a b1 b2 associated events during g2 m transition","cyclin a b1 b2 associated events during g2 m transition","Term"
"g2 m dna replication checkpoint","g2 m dna replication checkpoint","Term"
"stabilization of p53","stabilization of p53","Term"
"g1 s dna damage checkpoints","g1 s dna damage checkpoints","Term"
"mitotic spindle checkpoint","mitotic spindle checkpoint","Term"
"cyclin a:cdk2 associated events at s phase entry","cyclin a:cdk2 associated events at s phase entry","Term"
"fructose catabolism","fructose catabolism","Term"
"galactose catabolism","galactose catabolism","Term"
"urea cycle","urea cycle","Term"
"histidine catabolism","histidine catabolism","Term"
"propionyl coa catabolism","propionyl coa catabolism","Term"
"lysine catabolism","lysine catabolism","Term"
"creatine metabolism","creatine metabolism","Term"
"pentose phosphate pathway","pentose phosphate pathway","Term"
"mrna editing: c to u conversion","mrna editing: c to u conversion","Term"
"trna processing","trna processing","Term"
"rrna processing","rrna processing","Term"
"eukaryotic translation initiation","eukaryotic translation initiation","Term"
"recycling of eif2:gdp","recycling of eif2:gdp","Term"
"transport of nucleotide sugars","transport of nucleotide sugars","Term"
"pyrimidine salvage","pyrimidine salvage","Term"
"rna polymerase i transcription initiation","rna polymerase i transcription initiation","Term"
"rna polymerase i promoter escape","rna polymerase i promoter escape","Term"
"rna polymerase ii transcription pre initiation and promoter opening","rna polymerase ii transcription pre initiation and promoter opening","Term"
"rna polymerase iii chain elongation","rna polymerase iii chain elongation","Term"
"rna polymerase ii transcription termination","rna polymerase ii transcription termination","Term"
"rna polymerase i transcription termination","rna polymerase i transcription termination","Term"
"rna polymerase i transcription","rna polymerase i transcription","Term"
"death receptor signalling","death receptor signalling","Term"
"dna damage bypass","dna damage bypass","Term"
"depurination","depurination","Term"
"base excision repair ap site formation","base excision repair ap site formation","Term"
"resolution of abasic sites ap sites","resolution of abasic sites ap sites","Term"
"dna damage reversal","dna damage reversal","Term"
"rna polymerase iii transcription termination","rna polymerase iii transcription termination","Term"
"rna polymerase iii transcription","rna polymerase iii transcription","Term"
"gene expression transcription","gene expression transcription","Term"
"ketone body metabolism","ketone body metabolism","Term"
"irs activation","irs activation","Term"
"chk1 chk2 cds1 mediated inactivation of cyclin b:cdk1 complex","chk1 chk2 cds1 mediated inactivation of cyclin b:cdk1 complex","Term"
"mrna editing","mrna editing","Term"
"fasl cd95l signaling","fasl cd95l signaling","Term"
"trail signaling","trail signaling","Term"
"dissolution of fibrin clot","dissolution of fibrin clot","Term"
"tnf signaling","tnf signaling","Term"
"rna polymerase ii transcription elongation","rna polymerase ii transcription elongation","Term"
"response to elevated platelet cytosolic ca2plus","response to elevated platelet cytosolic ca2plus","Term"
"rna polymerase iii transcription initiation from type 1 promoter","rna polymerase iii transcription initiation from type 1 promoter","Term"
"rna polymerase iii transcription initiation from type 3 promoter","rna polymerase iii transcription initiation from type 3 promoter","Term"
"synthesis of ketone bodies","synthesis of ketone bodies","Term"
"mitochondrial fatty acid beta oxidation of saturated fatty acids","mitochondrial fatty acid beta oxidation of saturated fatty acids","Term"
"mitochondrial fatty acid beta oxidation of unsaturated fatty acids","mitochondrial fatty acid beta oxidation of unsaturated fatty acids","Term"
"beta oxidation of lauroyl coa to decanoyl coa coa","beta oxidation of lauroyl coa to decanoyl coa coa","Term"
"beta oxidation of decanoyl coa to octanoyl coa coa","beta oxidation of decanoyl coa to octanoyl coa coa","Term"
"beta oxidation of octanoyl coa to hexanoyl coa","beta oxidation of octanoyl coa to hexanoyl coa","Term"
"beta oxidation of hexanoyl coa to butanoyl coa","beta oxidation of hexanoyl coa to butanoyl coa","Term"
"beta oxidation of butanoyl coa to acetyl coa","beta oxidation of butanoyl coa to acetyl coa","Term"
"nucleosome assembly","nucleosome assembly","Term"
"transport of fatty acids","transport of fatty acids","Term"
"transport of nucleosides and free purine and pyrimidine bases across the plasma membrane","transport of nucleosides and free purine and pyrimidine bases across the plasma membrane","Term"
"erbb2 activates ptk6 signaling","erbb2 activates ptk6 signaling","Term"
"wax and plasmalogen biosynthesis","wax and plasmalogen biosynthesis","Term"
"ptk6 regulates proteins involved in rna processing","ptk6 regulates proteins involved in rna processing","Term"
"ptk6 regulates rtks and their effectors akt1 and dok1","ptk6 regulates rtks and their effectors akt1 and dok1","Term"
"ptk6 regulates cell cycle","ptk6 regulates cell cycle","Term"
"ptk6 regulates rho gtpases ras gtpase and map kinases","ptk6 regulates rho gtpases ras gtpase and map kinases","Term"
"ptk6 expression","ptk6 expression","Term"
"synaptic adhesion like molecules","synaptic adhesion like molecules","Term"
"phosphate bond hydrolysis by ntpdase proteins","phosphate bond hydrolysis by ntpdase proteins","Term"
"butyrophilin btn family interactions","butyrophilin btn family interactions","Term"
"signaling by fgfr2 iiia tm","signaling by fgfr2 iiia tm","Term"
"met activates ras signaling","met activates ras signaling","Term"
"met activates pi3k akt signaling","met activates pi3k akt signaling","Term"
"protein ubiquitination","protein ubiquitination","Term"
"the role of gtse1 in g2 m progression after g2 checkpoint","the role of gtse1 in g2 m progression after g2 checkpoint","Term"
"signaling by mst1","signaling by mst1","Term"
"signaling by fgfr3 fusions in cancer","signaling by fgfr3 fusions in cancer","Term"
"ret signaling","ret signaling","Term"
"fbxl7 down regulates aurka during mitotic entry and in early mitosis","fbxl7 down regulates aurka during mitotic entry and in early mitosis","Term"
"tbc rabgaps","tbc rabgaps","Term"
"aurka activation by tpx2","aurka activation by tpx2","Term"
"interleukin 20 family signaling","interleukin 20 family signaling","Term"
"golgi to er retrograde transport","golgi to er retrograde transport","Term"
"cargo recognition for clathrin mediated endocytosis","cargo recognition for clathrin mediated endocytosis","Term"
"clathrin mediated endocytosis","clathrin mediated endocytosis","Term"
"ptk6 promotes hif1a stabilization","ptk6 promotes hif1a stabilization","Term"
"neurodegenerative diseases","neurodegenerative diseases","Term"
"downregulation of erbb2 signaling","downregulation of erbb2 signaling","Term"
"transcriptional regulation by the ap 2 tfap2 family of transcription factors","transcriptional regulation by the ap 2 tfap2 family of transcription factors","Term"
"met activates ptpn11","met activates ptpn11","Term"
"reelin signalling pathway","reelin signalling pathway","Term"
"vldl assembly","vldl assembly","Term"
"vldlr internalisation and degradation","vldlr internalisation and degradation","Term"
"synthesis of active ubiquitin: roles of e1 and e2 enzymes","synthesis of active ubiquitin: roles of e1 and e2 enzymes","Term"
"e3 ubiquitin ligases ubiquitinate target proteins","e3 ubiquitin ligases ubiquitinate target proteins","Term"
"negative regulation of activity of tfap2 ap 2 family transcription factors","negative regulation of activity of tfap2 ap 2 family transcription factors","Term"
"activation of the tfap2 ap 2 family of transcription factors","activation of the tfap2 ap 2 family of transcription factors","Term"
"tfap2 ap 2 family regulates transcription of growth factors and their receptors","tfap2 ap 2 family regulates transcription of growth factors and their receptors","Term"
"tfap2 ap 2 family regulates transcription of cell cycle factors","tfap2 ap 2 family regulates transcription of cell cycle factors","Term"
"rrna processing in the mitochondrion","rrna processing in the mitochondrion","Term"
"rrna processing in the nucleus and cytosol","rrna processing in the nucleus and cytosol","Term"
"tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation","tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation","Term"
"rab geranylgeranylation","rab geranylgeranylation","Term"
"met activates ptk2 signaling","met activates ptk2 signaling","Term"
"creb3 factors activate genes","creb3 factors activate genes","Term"
"inlb mediated entry of listeria monocytogenes into host cell","inlb mediated entry of listeria monocytogenes into host cell","Term"
"met interacts with tns proteins","met interacts with tns proteins","Term"
"met activates rap1 and rac1","met activates rap1 and rac1","Term"
"met receptor recycling","met receptor recycling","Term"
"met promotes cell motility","met promotes cell motility","Term"
"rab gefs exchange gtp for gdp on rabs","rab gefs exchange gtp for gdp on rabs","Term"
"listeria monocytogenes entry into host cells","listeria monocytogenes entry into host cells","Term"
"inla mediated entry of listeria monocytogenes into host cells","inla mediated entry of listeria monocytogenes into host cells","Term"
"protein methylation","protein methylation","Term"
"runx1 and foxp3 control the development of regulatory t lymphocytes tregs","runx1 and foxp3 control the development of regulatory t lymphocytes tregs","Term"
"transcriptional regulation by runx3","transcriptional regulation by runx3","Term"
"transcriptional regulation by runx2","transcriptional regulation by runx2","Term"
"transcriptional regulation by runx1","transcriptional regulation by runx1","Term"
"runx1 regulates estrogen receptor mediated transcription","runx1 regulates estrogen receptor mediated transcription","Term"
"regulation of runx1 expression and activity","regulation of runx1 expression and activity","Term"
"receptor mediated mitophagy","receptor mediated mitophagy","Term"
"digestion","digestion","Term"
"runx1 regulates expression of components of tight junctions","runx1 regulates expression of components of tight junctions","Term"
"runx1 regulates genes involved in megakaryocyte differentiation and platelet function","runx1 regulates genes involved in megakaryocyte differentiation and platelet function","Term"
"aryl hydrocarbon receptor signalling","aryl hydrocarbon receptor signalling","Term"
"esr mediated signaling","esr mediated signaling","Term"
"runx1 regulates transcription of genes involved in differentiation of hscs","runx1 regulates transcription of genes involved in differentiation of hscs","Term"
"runx1 regulates transcription of genes involved in differentiation of keratinocytes","runx1 regulates transcription of genes involved in differentiation of keratinocytes","Term"
"runx1 interacts with co factors whose precise effect on runx1 targets is not known","runx1 interacts with co factors whose precise effect on runx1 targets is not known","Term"
"runx1 regulates transcription of genes involved in bcr signaling","runx1 regulates transcription of genes involved in bcr signaling","Term"
"runx1 regulates transcription of genes involved in differentiation of myeloid cells","runx1 regulates transcription of genes involved in differentiation of myeloid cells","Term"
"runx1 regulates transcription of genes involved in interleukin signaling","runx1 regulates transcription of genes involved in interleukin signaling","Term"
"runx1 regulates transcription of genes involved in wnt signaling","runx1 regulates transcription of genes involved in wnt signaling","Term"
"regulation of runx2 expression and activity","regulation of runx2 expression and activity","Term"
"runx2 regulates osteoblast differentiation","runx2 regulates osteoblast differentiation","Term"
"runx2 regulates chondrocyte maturation","runx2 regulates chondrocyte maturation","Term"
"runx2 regulates bone development","runx2 regulates bone development","Term"
"runx2 regulates genes involved in cell migration","runx2 regulates genes involved in cell migration","Term"
"runx3 regulates cdkn1a transcription","runx3 regulates cdkn1a transcription","Term"
"runx3 regulates notch signaling","runx3 regulates notch signaling","Term"
"regulation of runx3 expression and activity","regulation of runx3 expression and activity","Term"
"regulation of pten mrna translation","regulation of pten mrna translation","Term"
"regulation of pten gene transcription","regulation of pten gene transcription","Term"
"collagen chain trimerization","collagen chain trimerization","Term"
"competing endogenous rnas cernas regulate pten translation","competing endogenous rnas cernas regulate pten translation","Term"
"regulation of pten localization","regulation of pten localization","Term"
"regulation of pten stability and activity","regulation of pten stability and activity","Term"
"mitochondrial calcium ion transport","mitochondrial calcium ion transport","Term"
"runx3 regulates immune response and cell migration","runx3 regulates immune response and cell migration","Term"
"cristae formation","cristae formation","Term"
"processing of smdt1","processing of smdt1","Term"
"gene and protein expression by jak stat signaling after interleukin 12 stimulation","gene and protein expression by jak stat signaling after interleukin 12 stimulation","Term"
"runx3 regulates wnt signaling","runx3 regulates wnt signaling","Term"
"neddylation","neddylation","Term"
"runx3 regulates yap1 mediated transcription","runx3 regulates yap1 mediated transcription","Term"
"runx3 regulates p14 arf","runx3 regulates p14 arf","Term"
"runx3 regulates bcl2l11 bim transcription","runx3 regulates bcl2l11 bim transcription","Term"
"transcriptional regulation by e2f6","transcriptional regulation by e2f6","Term"
"cellular responses to external stimuli","cellular responses to external stimuli","Term"
"carboxyterminal post translational modifications of tubulin","carboxyterminal post translational modifications of tubulin","Term"
"nucleobase catabolism","nucleobase catabolism","Term"
"nucleobase biosynthesis","nucleobase biosynthesis","Term"
"nucleotide salvage","nucleotide salvage","Term"
"metabolism of steroids","metabolism of steroids","Term"
"intestinal absorption","intestinal absorption","Term"
"tyrosine catabolism","tyrosine catabolism","Term"
"phenylalanine and tyrosine metabolism","phenylalanine and tyrosine metabolism","Term"
"aspartate and asparagine metabolism","aspartate and asparagine metabolism","Term"
"digestion and absorption","digestion and absorption","Term"
"chylomicron assembly","chylomicron assembly","Term"
"assembly of active lpl and lipc lipase complexes","assembly of active lpl and lipc lipase complexes","Term"
"hdl assembly","hdl assembly","Term"
"plasma lipoprotein assembly","plasma lipoprotein assembly","Term"
"plasma lipoprotein remodeling","plasma lipoprotein remodeling","Term"
"chylomicron remodeling","chylomicron remodeling","Term"
"hdl clearance","hdl clearance","Term"
"chylomicron clearance","chylomicron clearance","Term"
"ldl clearance","ldl clearance","Term"
"plasma lipoprotein clearance","plasma lipoprotein clearance","Term"
"vldl clearance","vldl clearance","Term"
"hdl remodeling","hdl remodeling","Term"
"phenylalanine metabolism","phenylalanine metabolism","Term"
"glutamate and glutamine metabolism","glutamate and glutamine metabolism","Term"
"lipid particle organization","lipid particle organization","Term"
"g beta:gamma signalling through cdc42","g beta:gamma signalling through cdc42","Term"
"fatty acid metabolism","fatty acid metabolism","Term"
"metabolism of cofactors","metabolism of cofactors","Term"
"triglyceride metabolism","triglyceride metabolism","Term"
"glycogen metabolism","glycogen metabolism","Term"
"interleukin 15 signaling","interleukin 15 signaling","Term"
"oas antiviral response","oas antiviral response","Term"
"interleukin 35 signalling","interleukin 35 signalling","Term"
"interleukin 9 signaling","interleukin 9 signaling","Term"
"transcriptional regulation by mecp2","transcriptional regulation by mecp2","Term"
"pervasive developmental disorders","pervasive developmental disorders","Term"
"signaling by ntrk2 trkb","signaling by ntrk2 trkb","Term"
"signaling by erythropoietin","signaling by erythropoietin","Term"
"integrin signaling","integrin signaling","Term"
"intracellular signaling by second messengers","intracellular signaling by second messengers","Term"
"signaling by non receptor tyrosine kinases","signaling by non receptor tyrosine kinases","Term"
"signaling by nuclear receptors","signaling by nuclear receptors","Term"
"signaling by receptor tyrosine kinases","signaling by receptor tyrosine kinases","Term"
"signaling by tgf beta family members","signaling by tgf beta family members","Term"
"rab regulation of trafficking","rab regulation of trafficking","Term"
"interleukin 37 signaling","interleukin 37 signaling","Term"
"extra nuclear estrogen signaling","extra nuclear estrogen signaling","Term"
"er quality control compartment erqc","er quality control compartment erqc","Term"
"regulation of expression of slits and robos","regulation of expression of slits and robos","Term"
"robo receptors bind akap5","robo receptors bind akap5","Term"
"interleukin 18 signaling","interleukin 18 signaling","Term"
"notch3 activation and transmission of signal to the nucleus","notch3 activation and transmission of signal to the nucleus","Term"
"notch3 intracellular domain regulates transcription","notch3 intracellular domain regulates transcription","Term"
"notch4 intracellular domain regulates transcription","notch4 intracellular domain regulates transcription","Term"
"notch4 activation and transmission of signal to the nucleus","notch4 activation and transmission of signal to the nucleus","Term"
"tlr3 mediated ticam1 dependent programmed cell death","tlr3 mediated ticam1 dependent programmed cell death","Term"
"ticam1 dependent activation of irf3 irf7","ticam1 dependent activation of irf3 irf7","Term"
"ticam1 traf6 dependent induction of tak1 complex","ticam1 traf6 dependent induction of tak1 complex","Term"
"interleukin 36 pathway","interleukin 36 pathway","Term"
"noncanonical activation of notch3","noncanonical activation of notch3","Term"
"estrogen dependent gene expression","estrogen dependent gene expression","Term"
"biosynthesis of specialized proresolving mediators spms","biosynthesis of specialized proresolving mediators spms","Term"
"biosynthesis of epa derived spms","biosynthesis of epa derived spms","Term"
"biosynthesis of maresins","biosynthesis of maresins","Term"
"biosynthesis of e series 18 s resolvins","biosynthesis of e series 18 s resolvins","Term"
"interleukin 2 signaling","interleukin 2 signaling","Term"
"interleukin 12 signaling","interleukin 12 signaling","Term"
"interleukin 1 signaling","interleukin 1 signaling","Term"
"interleukin 23 signaling","interleukin 23 signaling","Term"
"interleukin 27 signaling","interleukin 27 signaling","Term"
"interleukin 21 signaling","interleukin 21 signaling","Term"
"loss of mecp2 binding ability to the ncor smrt complex","loss of mecp2 binding ability to the ncor smrt complex","Term"
"regulation of mecp2 expression and activity","regulation of mecp2 expression and activity","Term"
"mecp2 regulates neuronal receptors and channels","mecp2 regulates neuronal receptors and channels","Term"
"mecp2 regulates transcription of neuronal ligands","mecp2 regulates transcription of neuronal ligands","Term"
"mecp2 regulates transcription factors","mecp2 regulates transcription factors","Term"
"activated ntrk2 signals through ras","activated ntrk2 signals through ras","Term"
"erythropoietin activates phosphoinositide 3 kinase pi3k","erythropoietin activates phosphoinositide 3 kinase pi3k","Term"
"erythropoietin activates phospholipase c gamma plcg","erythropoietin activates phospholipase c gamma plcg","Term"
"erythropoietin activates stat5","erythropoietin activates stat5","Term"
"erythropoietin activates ras","erythropoietin activates ras","Term"
"biosynthesis of maresin like spms","biosynthesis of maresin like spms","Term"
"activated ntrk2 signals through pi3k","activated ntrk2 signals through pi3k","Term"
"activated ntrk2 signals through frs2 and frs3","activated ntrk2 signals through frs2 and frs3","Term"
"activated ntrk2 signals through fyn","activated ntrk2 signals through fyn","Term"
"ntrk2 activates rac1","ntrk2 activates rac1","Term"
"activated ntrk2 signals through cdk5","activated ntrk2 signals through cdk5","Term"
"peroxisomal protein import","peroxisomal protein import","Term"
"tysnd1 cleaves peroxisomal proteins","tysnd1 cleaves peroxisomal proteins","Term"
"blood group systems biosynthesis","blood group systems biosynthesis","Term"
"signaling by ntrk3 trkc","signaling by ntrk3 trkc","Term"
"activated ntrk3 signals through ras","activated ntrk3 signals through ras","Term"
"interleukin receptor shc signaling","interleukin receptor shc signaling","Term"
"nonsense mediated decay nmd","nonsense mediated decay nmd","Term"
"traf6 mediated nf kb activation","traf6 mediated nf kb activation","Term"
"nf kb activation through fadd rip 1 pathway mediated by caspase 8 and 10","nf kb activation through fadd rip 1 pathway mediated by caspase 8 and 10","Term"
"negative regulators of ddx58 ifih1 signaling","negative regulators of ddx58 ifih1 signaling","Term"
"irak2 mediated activation of tak1 complex","irak2 mediated activation of tak1 complex","Term"
"trif ticam1 mediated tlr4 signaling","trif ticam1 mediated tlr4 signaling","Term"
"traf6 mediated induction of tak1 complex within tlr4 complex","traf6 mediated induction of tak1 complex within tlr4 complex","Term"
"molybdenum cofactor biosynthesis","molybdenum cofactor biosynthesis","Term"
"activated ntrk3 signals through pi3k","activated ntrk3 signals through pi3k","Term"
"class i peroxisomal membrane protein import","class i peroxisomal membrane protein import","Term"
"negative regulation of notch4 signaling","negative regulation of notch4 signaling","Term"
"protein localization","protein localization","Term"
"insertion of tail anchored proteins into the endoplasmic reticulum membrane","insertion of tail anchored proteins into the endoplasmic reticulum membrane","Term"
"assembly and cell surface presentation of nmda receptors","assembly and cell surface presentation of nmda receptors","Term"
"autophagy","autophagy","Term"
"lipophagy","lipophagy","Term"
"chaperone mediated autophagy","chaperone mediated autophagy","Term"
"foxo mediated transcription","foxo mediated transcription","Term"
"regulation of localization of foxo transcription factors","regulation of localization of foxo transcription factors","Term"
"foxo mediated transcription of cell death genes","foxo mediated transcription of cell death genes","Term"
"foxo mediated transcription of oxidative stress metabolic and neuronal genes","foxo mediated transcription of oxidative stress metabolic and neuronal genes","Term"
"microautophagy","microautophagy","Term"
"transcriptional regulation of granulopoiesis","transcriptional regulation of granulopoiesis","Term"
"negative regulation of nmda receptor mediated neuronal transmission","negative regulation of nmda receptor mediated neuronal transmission","Term"
"regulation of foxo transcriptional activity by acetylation","regulation of foxo transcriptional activity by acetylation","Term"
"foxo mediated transcription of cell cycle genes","foxo mediated transcription of cell cycle genes","Term"
"activation of rac1 downstream of nmdars","activation of rac1 downstream of nmdars","Term"
"activation of ampk downstream of nmdars","activation of ampk downstream of nmdars","Term"
"long term potentiation","long term potentiation","Term"
"regulation of glycolysis by fructose 2 6 bisphosphate metabolism","regulation of glycolysis by fructose 2 6 bisphosphate metabolism","Term"
"estrogen stimulated signaling through prkcz","estrogen stimulated signaling through prkcz","Term"
"estrogen dependent nuclear events downstream of esr membrane signaling","estrogen dependent nuclear events downstream of esr membrane signaling","Term"
"stat5 activation","stat5 activation","Term"
"n glycan trimming and elongation in the cis golgi","n glycan trimming and elongation in the cis golgi","Term"
"reactions specific to the complex n glycan synthesis pathway","reactions specific to the complex n glycan synthesis pathway","Term"
"myd88 cascade initiated on plasma membrane","myd88 cascade initiated on plasma membrane","Term"
"nonsense mediated decay nmd independent of the exon junction complex ejc","nonsense mediated decay nmd independent of the exon junction complex ejc","Term"
"amyloid fiber formation","amyloid fiber formation","Term"
"serine biosynthesis","serine biosynthesis","Term"
"antigen processing: ubiquitination proteasome degradation","antigen processing: ubiquitination proteasome degradation","Term"
"antigen presentation: folding assembly and peptide loading of class i mhc","antigen presentation: folding assembly and peptide loading of class i mhc","Term"
"antigen activates b cell receptor bcr leading to generation of second messengers","antigen activates b cell receptor bcr leading to generation of second messengers","Term"
"PHKA2","PHKA2","Gene"
"GYG2","GYG2","Gene"
"PHKA1","PHKA1","Gene"
"PYGM","PYGM","Gene"
"PYGL","PYGL","Gene"
"PYGB","PYGB","Gene"
"PHKB","PHKB","Gene"
"PHKG2","PHKG2","Gene"
"AGL","AGL","Gene"
"GYG1","GYG1","Gene"
"PHKG1","PHKG1","Gene"
"PGM2L1","PGM2L1","Gene"
"PGM2","PGM2","Gene"
"GAA","GAA","Gene"
"CALM1","CALM1","Gene"
"RPS20","RPS20","Gene"
"LARS2","LARS2","Gene"
"SARS","SARS","Gene"
"RPL26L1","RPL26L1","Gene"
"MRPS10","MRPS10","Gene"
"MRPL43","MRPL43","Gene"
"SEC61A1","SEC61A1","Gene"
"MRPS35","MRPS35","Gene"
"MRPS24","MRPS24","Gene"
"EIF4B","EIF4B","Gene"
"RPL18","RPL18","Gene"
"KARS","KARS","Gene"
"SEC61A2","SEC61A2","Gene"
"TRAM1","TRAM1","Gene"
"IARS2","IARS2","Gene"
"PABPC1","PABPC1","Gene"
"EIF2B3","EIF2B3","Gene"
"RPL31","RPL31","Gene"
"MRPS34","MRPS34","Gene"
"MRPL22","MRPL22","Gene"
"RPS5","RPS5","Gene"
"EIF3I","EIF3I","Gene"
"MTIF2","MTIF2","Gene"
"MRPL28","MRPL28","Gene"
"AC004086.1","AC004086.1","Gene"
"RPLP0","RPLP0","Gene"
"MRPS33","MRPS33","Gene"
"AARS","AARS","Gene"
"MRPS18A","MRPS18A","Gene"
"EIF3L","EIF3L","Gene"
"RPL3","RPL3","Gene"
