"Source","Target","pval","comm","logpval"
"Circadian Clock","Glucose metabolism",0.0197210415580113,4,3.92606911385906
"Circadian Clock","Glyoxylate metabolism and glycine degradation",1,0,0
"Circadian Clock","GPVI-mediated activation cascade",1,0,0
"Circadian Clock","Growth hormone receptor signaling",1,0,0
"Circadian Clock","Heparan sulfate/heparin (HS-GAG) metabolism",1,0,0
"Circadian Clock","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",1,0,0
"Circadian Clock","Hyaluronan metabolism",1,0,0
"Circadian Clock","Integrin cell surface interactions",1,0,0
"Circadian Clock","Interferon alpha/beta signaling",1,0,0
"Circadian Clock","Interferon gamma signaling",1,0,0
"Circadian Clock","Interleukin-6 family signaling",1,0,0
"Circadian Clock","Intrinsic Pathway for Apoptosis",1,0,0
"Circadian Clock","Iron uptake and transport",1,0,0
"Circadian Clock","ISG15 antiviral mechanism",0.0144552416060398,4,4.23669818929587
"Circadian Clock","Keratan sulfate/keratin metabolism",1,0,0
"Circadian Clock","L1CAM interactions",1,0,0
"Circadian Clock","Lipid digestion, mobilization, and transport",0.0663103311582608,3,2.71340956952153
"Circadian Clock","Macroautophagy",1,0,0
"Circadian Clock","MAP2K and MAPK activation",1,0,0
"Circadian Clock","Metabolism of nucleotides",1,0,0
"Circadian Clock","Metabolism of porphyrins",1,0,0
"Circadian Clock","Metabolism of water-soluble vitamins and cofactors",0.738433545357643,1,0.303224167034439
"Circadian Clock","Metal ion SLC transporters",1,0,0
"Circadian Clock","Miscellaneous transport and binding events",1,0,0
"Circadian Clock","Mitochondrial biogenesis",2.80198410386998e-30,22,68.0472250150597
"Circadian Clock","MyD88-independent TLR3/TLR4 cascade",3.90134259835357e-07,10,14.7567749010771
"Circadian Clock","Myogenesis",0.0552907495506554,2,2.8951496620113
"Circadian Clock","NCAM1 interactions",1,0,0
"Circadian Clock","Negative regulation of MAPK pathway",0.00175668411357079,4,6.34432727332232
"Circadian Clock","Negative regulation of the PI3K/AKT network",1,0,0
"Circadian Clock","Netrin-1 signaling",1,0,0
"Circadian Clock","Neurotransmitter Release Cycle",1,0,0
"Circadian Clock","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",1,0,0
"Circadian Clock","Non-integrin membrane-ECM interactions",1,0,0
"Circadian Clock","Nuclear Receptor transcription pathway",4.67129842820281e-05,6,9.97148839591654
"Circadian Clock","Nuclear signaling by ERBB4",0.00159665317338501,4,6.43984560717022
"Circadian Clock","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1,0,0
"Circadian Clock","Opioid Signalling",0.289489303365359,2,1.23963693130331
"Circadian Clock","Oxidative Stress Induced Senescence",0.0312258240347736,4,3.46650983309378
"Circadian Clock","p75 NTR receptor-mediated signalling",0.00446980856145801,5,5.41040969868809
"Circadian Clock","Peptide hormone metabolism",1,0,0
"Circadian Clock","Peroxisomal lipid metabolism",1,0,0
"Circadian Clock","Phase 0 - rapid depolarisation",1,0,0
"Circadian Clock","Phase 1 - Functionalization of compounds",0.120435735491668,3,2.11663898373653
"Circadian Clock","Phase II conjugation",1,0,0
"Circadian Clock","PI Metabolism",1,0,0
"Circadian Clock","Pink/Parkin Mediated Mitophagy",0.000167931670507487,4,8.69195338446504
"Circadian Clock","PIWI-interacting RNA (piRNA) biogenesis",1,0,0
"Circadian Clock","Platelet Aggregation (Plug Formation)",1,0,0
"Circadian Clock","Platelet homeostasis",1,0,0
"Circadian Clock","Polo-like kinase mediated events",0.191570303861974,1,1.65250041573958
"Circadian Clock","Potassium Channels",1,0,0
"Circadian Clock","Pre-NOTCH Expression and Processing",0.172699489925281,2,1.75620224736438
"Circadian Clock","Pyruvate metabolism and Citric Acid (TCA) cycle",0.472786912646438,1,0.7491104938012
"Circadian Clock","Rap1 signalling",1,0,0
"Circadian Clock","Regulation of actin dynamics for phagocytic cup formation",1,0,0
"Circadian Clock","Regulation of beta-cell development",1,0,0
"Circadian Clock","Regulation of cholesterol biosynthesis by SREBP (SREBF)",8.56983108336804e-17,15,36.9956985587088
"Circadian Clock","Regulation of FZD by ubiquitination",0.000138764434408616,4,8.88273277897485
"Circadian Clock","Regulation of Hypoxia-inducible Factor (HIF) by oxygen",2.65968412286042e-08,7,17.4424733790145
"Circadian Clock","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1,0,0
"Circadian Clock","Regulation of insulin secretion",1,0,0
"Circadian Clock","Regulation of KIT signaling",1,0,0
"Circadian Clock","Regulation of TP53 Activity through Acetylation",0.263559773139184,1,1.33347509369275
"Circadian Clock","Regulation of TP53 Activity through Methylation",3.41956310627058e-06,5,12.5859977617546
"Circadian Clock","Regulation of TP53 Activity through Phosphorylation",0.0290841942280068,4,3.53756040604283
"Circadian Clock","Regulation of TP53 Expression and Degradation",0.00117774738359067,4,6.74415166191861
"Circadian Clock","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",0.000540970203518781,6,7.52214635730965
"Circadian Clock","RMTs methylate histone arginines",0.118121740101142,2,2.1360394905764
"Circadian Clock","SALM protein interactions at the synapse",1,0,0
"Circadian Clock","Semaphorin interactions",1,0,0
"Circadian Clock","Signaling by BMP",1,0,0
"Circadian Clock","Signaling by ERBB2",0.00272654922500466,4,5.90471848947738
"Circadian Clock","Signaling by FGFR in disease",1,0,0
"Circadian Clock","Signaling by Hippo",1,0,0
"Circadian Clock","Signaling by NODAL",1,0,0
"Circadian Clock","Signaling by NOTCH1",3.87858731682305e-12,13,26.2755501221938
"Circadian Clock","Signaling by PTK6",0.000219651249869116,6,8.42346949728271
"Circadian Clock","Signaling by TGF-beta Receptor Complex",3.3489746505026e-07,9,14.9094414264485
"Circadian Clock","Sphingolipid metabolism",1,0,0
"Circadian Clock","Steroid hormones",1,0,0
"Circadian Clock","SUMO E3 ligases SUMOylate target proteins",1,0,0
"Circadian Clock","Surfactant metabolism",1,0,0
"Circadian Clock","Synthesis of PA",1,0,0
"Circadian Clock","Synthesis of PC",1,0,0
"Circadian Clock","The role of Nef in HIV-1 replication and disease pathogenesis",1,0,0
"Circadian Clock","Tie2 Signaling",1,0,0
"Circadian Clock","TP53 Regulates Metabolic Genes",1,0,0
"Circadian Clock","TP53 Regulates Transcription of Cell Cycle Genes",0.131323563715796,2,2.03009104907003
"Circadian Clock","TP53 Regulates Transcription of Cell Death Genes",0.436260953416115,1,0.829514697663534
"Circadian Clock","Trafficking of AMPA receptors",1,0,0
"Circadian Clock","Transcriptional regulation of pluripotent stem cells",1,0,0
"Circadian Clock","Transcriptional regulation of white adipocyte differentiation",4.96717830078795e-20,19,44.4488499273217
"Circadian Clock","trans-Golgi Network Vesicle Budding",1,0,0
"Circadian Clock","Translocation of GLUT4 to the plasma membrane",1,0,0
"Circadian Clock","Transport of vitamins, nucleosides, and related molecules",0.397247319612017,1,0.923196220946119
"Circadian Clock","tRNA Aminoacylation",1,0,0
"Circadian Clock","Unfolded Protein Response (UPR)",1,0,0
"Circadian Clock","Uptake and actions of bacterial toxins",1,0,0
"Circadian Clock","Visual phototransduction",1,0,0
"Circadian Clock","YAP1- and WWTR1 (TAZ)-stimulated gene expression",6.87746532543198e-20,14,44.1234516878172
"Class B/2 (Secretin family receptors)","Class C/3 (Metabotropic glutamate/pheromone receptors)",1,0,0
"Class B/2 (Secretin family receptors)","CLEC7A (Dectin-1) signaling",1,0,0
"Class B/2 (Secretin family receptors)","Collagen formation",1,0,0
"Class B/2 (Secretin family receptors)","Complement cascade",0.76491475993591,1,0.267990876284198
"Class B/2 (Secretin family receptors)","COPII (Coat Protein 2) Mediated Vesicle Transport",1,0,0
"Class B/2 (Secretin family receptors)","COPI-independent Golgi-to-ER retrograde traffic",1,0,0
"Class B/2 (Secretin family receptors)","Costimulation by the CD28 family",1,0,0
"Class B/2 (Secretin family receptors)","Cyclin A/B1 associated events during G2/M transition",1,0,0
"Class B/2 (Secretin family receptors)","Cytosolic sensors of pathogen-associated DNA",1,0,0
"Class B/2 (Secretin family receptors)","Deactivation of the beta-catenin transactivating complex",1,0,0
"Class B/2 (Secretin family receptors)","Deadenylation-dependent mRNA decay",1,0,0
"Class B/2 (Secretin family receptors)","Death Receptor Signalling",1,0,0
"Class B/2 (Secretin family receptors)","Defensins",1,0,0
"Class B/2 (Secretin family receptors)","Detoxification of Reactive Oxygen Species",1,0,0
"Class B/2 (Secretin family receptors)","Diseases of glycosylation",1,0,0
"Class B/2 (Secretin family receptors)","Diseases of metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Disorders of transmembrane transporters",1,0,0
"Class B/2 (Secretin family receptors)","ECM proteoglycans",1,0,0
"Class B/2 (Secretin family receptors)","Effects of PIP2 hydrolysis",1,0,0
"Class B/2 (Secretin family receptors)","EGFR downregulation",1,0,0
"Class B/2 (Secretin family receptors)","Eicosanoid ligand-binding receptors",1,0,0
"Class B/2 (Secretin family receptors)","Elastic fibre formation",1,0,0
"Class B/2 (Secretin family receptors)","Endosomal Sorting Complex Required For Transport (ESCRT)",1,0,0
"Class B/2 (Secretin family receptors)","eNOS activation and regulation",1,0,0
"Class B/2 (Secretin family receptors)","EPH-Ephrin signaling",1,0,0
"Class B/2 (Secretin family receptors)","Formation of Fibrin Clot (Clotting Cascade)",1,0,0
"Class B/2 (Secretin family receptors)","G1 Phase",1,0,0
"Class B/2 (Secretin family receptors)","GABA receptor activation",5.51965983115353e-12,13,25.9227048823295
"Class B/2 (Secretin family receptors)","Gamma carboxylation, hypusine formation and arylsulfatase activation",1,0,0
"Class B/2 (Secretin family receptors)","Glucose metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Glyoxylate metabolism and glycine degradation",1,0,0
"Class B/2 (Secretin family receptors)","GPVI-mediated activation cascade",1,0,0
"Class B/2 (Secretin family receptors)","Growth hormone receptor signaling",1,0,0
"Class B/2 (Secretin family receptors)","Heparan sulfate/heparin (HS-GAG) metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",1,0,0
"Class B/2 (Secretin family receptors)","Hyaluronan metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Integrin cell surface interactions",1,0,0
"Class B/2 (Secretin family receptors)","Interferon alpha/beta signaling",1,0,0
"Class B/2 (Secretin family receptors)","Interferon gamma signaling",1,0,0
"Class B/2 (Secretin family receptors)","Interleukin-6 family signaling",1,0,0
"Class B/2 (Secretin family receptors)","Intrinsic Pathway for Apoptosis",1,0,0
"Class B/2 (Secretin family receptors)","Iron uptake and transport",1,0,0
"Class B/2 (Secretin family receptors)","ISG15 antiviral mechanism",1,0,0
"Class B/2 (Secretin family receptors)","Keratan sulfate/keratin metabolism",1,0,0
"Class B/2 (Secretin family receptors)","L1CAM interactions",1,0,0
"Class B/2 (Secretin family receptors)","Lipid digestion, mobilization, and transport",1,0,0
"Class B/2 (Secretin family receptors)","Macroautophagy",1,0,0
"Class B/2 (Secretin family receptors)","MAP2K and MAPK activation",1,0,0
"Class B/2 (Secretin family receptors)","Metabolism of nucleotides",1,0,0
"Class B/2 (Secretin family receptors)","Metabolism of porphyrins",1,0,0
"Class B/2 (Secretin family receptors)","Metabolism of water-soluble vitamins and cofactors",1,0,0
"Class B/2 (Secretin family receptors)","Metal ion SLC transporters",1,0,0
"Class B/2 (Secretin family receptors)","Miscellaneous transport and binding events",1,0,0
"Class B/2 (Secretin family receptors)","Mitochondrial biogenesis",1,0,0
"Class B/2 (Secretin family receptors)","MyD88-independent TLR3/TLR4 cascade",1,0,0
"Class B/2 (Secretin family receptors)","Myogenesis",1,0,0
"Class B/2 (Secretin family receptors)","NCAM1 interactions",1,0,0
"Class B/2 (Secretin family receptors)","Negative regulation of MAPK pathway",1,0,0
"Class B/2 (Secretin family receptors)","Negative regulation of the PI3K/AKT network",1,0,0
"Class B/2 (Secretin family receptors)","Netrin-1 signaling",1,0,0
"Class B/2 (Secretin family receptors)","Neurotransmitter Release Cycle",1,0,0
"Class B/2 (Secretin family receptors)","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",1,0,0
"Class B/2 (Secretin family receptors)","Non-integrin membrane-ECM interactions",1,0,0
"Class B/2 (Secretin family receptors)","Nuclear Receptor transcription pathway",1,0,0
"Class B/2 (Secretin family receptors)","Nuclear signaling by ERBB4",1,0,0
"Class B/2 (Secretin family receptors)","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1,0,0
"Class B/2 (Secretin family receptors)","Opioid Signalling",1.77192995028289e-14,17,31.6641219819582
"Class B/2 (Secretin family receptors)","Oxidative Stress Induced Senescence",1,0,0
"Class B/2 (Secretin family receptors)","p75 NTR receptor-mediated signalling",1,0,0
"Class B/2 (Secretin family receptors)","Peptide hormone metabolism",0.0572690501159523,4,2.85999493878076
"Class B/2 (Secretin family receptors)","Peroxisomal lipid metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Phase 0 - rapid depolarisation",1,0,0
"Class B/2 (Secretin family receptors)","Phase 1 - Functionalization of compounds",1,0,0
"Class B/2 (Secretin family receptors)","Phase II conjugation",1,0,0
"Class B/2 (Secretin family receptors)","PI Metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Pink/Parkin Mediated Mitophagy",1,0,0
"Class B/2 (Secretin family receptors)","PIWI-interacting RNA (piRNA) biogenesis",1,0,0
"Class B/2 (Secretin family receptors)","Platelet Aggregation (Plug Formation)",1,0,0
"Class B/2 (Secretin family receptors)","Platelet homeostasis",3.57649385864275e-15,18,33.2643934434875
"Class B/2 (Secretin family receptors)","Polo-like kinase mediated events",1,0,0
"Class B/2 (Secretin family receptors)","Potassium Channels",1.25780513684645e-08,13,18.1913124968404
"Class B/2 (Secretin family receptors)","Pre-NOTCH Expression and Processing",1,0,0
"Class B/2 (Secretin family receptors)","Pyruvate metabolism and Citric Acid (TCA) cycle",1,0,0
"Class B/2 (Secretin family receptors)","Rap1 signalling",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of actin dynamics for phagocytic cup formation",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of beta-cell development",0.437951362874351,1,0.82564741843736
"Class B/2 (Secretin family receptors)","Regulation of cholesterol biosynthesis by SREBP (SREBF)",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of FZD by ubiquitination",2.57213824247122e-05,5,10.5681879110225
"Class B/2 (Secretin family receptors)","Regulation of Hypoxia-inducible Factor (HIF) by oxygen",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of insulin secretion",1.4775420684056e-18,20,41.0561517313059
"Class B/2 (Secretin family receptors)","Regulation of KIT signaling",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of TP53 Activity through Acetylation",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of TP53 Activity through Methylation",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of TP53 Activity through Phosphorylation",1,0,0
"Class B/2 (Secretin family receptors)","Regulation of TP53 Expression and Degradation",1,0,0
"Class B/2 (Secretin family receptors)","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",1,0,0
"Class B/2 (Secretin family receptors)","RMTs methylate histone arginines",1,0,0
"Class B/2 (Secretin family receptors)","SALM protein interactions at the synapse",1,0,0
"Class B/2 (Secretin family receptors)","Semaphorin interactions",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by BMP",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by ERBB2",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by FGFR in disease",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by Hippo",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by NODAL",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by NOTCH1",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by PTK6",1,0,0
"Class B/2 (Secretin family receptors)","Signaling by TGF-beta Receptor Complex",1,0,0
"Class B/2 (Secretin family receptors)","Sphingolipid metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Steroid hormones",1,0,0
"Class B/2 (Secretin family receptors)","SUMO E3 ligases SUMOylate target proteins",1,0,0
"Class B/2 (Secretin family receptors)","Surfactant metabolism",1,0,0
"Class B/2 (Secretin family receptors)","Synthesis of PA",1,0,0
"Class B/2 (Secretin family receptors)","Synthesis of PC",1,0,0
"Class B/2 (Secretin family receptors)","The role of Nef in HIV-1 replication and disease pathogenesis",1,0,0
"Class B/2 (Secretin family receptors)","Tie2 Signaling",1,0,0
"Class B/2 (Secretin family receptors)","TP53 Regulates Metabolic Genes",1,0,0
"Class B/2 (Secretin family receptors)","TP53 Regulates Transcription of Cell Cycle Genes",1,0,0
"Class B/2 (Secretin family receptors)","TP53 Regulates Transcription of Cell Death Genes",1,0,0
"Class B/2 (Secretin family receptors)","Trafficking of AMPA receptors",1,0,0
"Class B/2 (Secretin family receptors)","Transcriptional regulation of pluripotent stem cells",1,0,0
"Class B/2 (Secretin family receptors)","Transcriptional regulation of white adipocyte differentiation",0.412302349391859,2,0.885998341027311
"Class B/2 (Secretin family receptors)","trans-Golgi Network Vesicle Budding",1,0,0
"Class B/2 (Secretin family receptors)","Translocation of GLUT4 to the plasma membrane",1,0,0
"Class B/2 (Secretin family receptors)","Transport of vitamins, nucleosides, and related molecules",1,0,0
"Class B/2 (Secretin family receptors)","tRNA Aminoacylation",1,0,0
"Class B/2 (Secretin family receptors)","Unfolded Protein Response (UPR)",1,0,0
"Class B/2 (Secretin family receptors)","Uptake and actions of bacterial toxins",1,0,0
"Class B/2 (Secretin family receptors)","Visual phototransduction",0.247978185276426,3,1.39441449928115
"Class B/2 (Secretin family receptors)","YAP1- and WWTR1 (TAZ)-stimulated gene expression",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","CLEC7A (Dectin-1) signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Collagen formation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Complement cascade",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","COPII (Coat Protein 2) Mediated Vesicle Transport",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","COPI-independent Golgi-to-ER retrograde traffic",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Costimulation by the CD28 family",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Cyclin A/B1 associated events during G2/M transition",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Cytosolic sensors of pathogen-associated DNA",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Deactivation of the beta-catenin transactivating complex",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Deadenylation-dependent mRNA decay",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Death Receptor Signalling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Defensins",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Detoxification of Reactive Oxygen Species",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Diseases of glycosylation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Diseases of metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Disorders of transmembrane transporters",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","ECM proteoglycans",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Effects of PIP2 hydrolysis",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","EGFR downregulation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Eicosanoid ligand-binding receptors",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Elastic fibre formation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Endosomal Sorting Complex Required For Transport (ESCRT)",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","eNOS activation and regulation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","EPH-Ephrin signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Formation of Fibrin Clot (Clotting Cascade)",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","G1 Phase",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","GABA receptor activation",0.0768360935884267,2,2.56608078062986
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Gamma carboxylation, hypusine formation and arylsulfatase activation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Glucose metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Glyoxylate metabolism and glycine degradation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","GPVI-mediated activation cascade",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Growth hormone receptor signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Heparan sulfate/heparin (HS-GAG) metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Hyaluronan metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Integrin cell surface interactions",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Interferon alpha/beta signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Interferon gamma signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Interleukin-6 family signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Intrinsic Pathway for Apoptosis",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Iron uptake and transport",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","ISG15 antiviral mechanism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Keratan sulfate/keratin metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","L1CAM interactions",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Lipid digestion, mobilization, and transport",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Macroautophagy",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","MAP2K and MAPK activation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Metabolism of nucleotides",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Metabolism of porphyrins",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Metabolism of water-soluble vitamins and cofactors",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Metal ion SLC transporters",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Miscellaneous transport and binding events",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Mitochondrial biogenesis",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","MyD88-independent TLR3/TLR4 cascade",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Myogenesis",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","NCAM1 interactions",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Negative regulation of MAPK pathway",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Negative regulation of the PI3K/AKT network",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Netrin-1 signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Neurotransmitter Release Cycle",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Non-integrin membrane-ECM interactions",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Nuclear Receptor transcription pathway",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Nuclear signaling by ERBB4",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Opioid Signalling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Oxidative Stress Induced Senescence",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","p75 NTR receptor-mediated signalling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Peptide hormone metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Peroxisomal lipid metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Phase 0 - rapid depolarisation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Phase 1 - Functionalization of compounds",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Phase II conjugation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","PI Metabolism",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Pink/Parkin Mediated Mitophagy",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","PIWI-interacting RNA (piRNA) biogenesis",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Platelet Aggregation (Plug Formation)",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Platelet homeostasis",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Polo-like kinase mediated events",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Potassium Channels",0.200566337242827,2,1.60661022789083
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Pre-NOTCH Expression and Processing",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Pyruvate metabolism and Citric Acid (TCA) cycle",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Rap1 signalling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of actin dynamics for phagocytic cup formation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of beta-cell development",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of cholesterol biosynthesis by SREBP (SREBF)",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of FZD by ubiquitination",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of Hypoxia-inducible Factor (HIF) by oxygen",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of insulin secretion",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of KIT signaling",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of TP53 Activity through Acetylation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of TP53 Activity through Methylation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of TP53 Activity through Phosphorylation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Regulation of TP53 Expression and Degradation",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","RMTs methylate histone arginines",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","SALM protein interactions at the synapse",1,0,0
"Class C/3 (Metabotropic glutamate/pheromone receptors)","Semaphorin interactions",1,0,0
